Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a173_gac-miR-223-3p	39678	47952	64021	33591	10734	59933	6386	40154	28337	7982	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	74	57	75	180	4	23	9	58	85	51	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	99	115	144	357	46	709	119	226	234	98	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	7032	2670	3908	12364	3263	7965	2223	16984	12100	2879	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	10	38	17	19	0	0	0	83	0	12	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	4618	2119	2876	9089	1164	3818	1159	6755	5266	1566	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	0	22	11	46	0	38	19	145	0	37	11	5	0	5	10	14	0	32	4
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	6	11	6	44	0	29	7	59	99	11	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	821	418	260	1529	132	448	226	2168	818	269	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	50745	20031	46392	27085	8753	21316	6622	21249	17468	8182	35686	30548	38235	31969	10481	21453	69073	46500	8249
a108_gac-miR-2188-3p	136354	54636	112940	102918	44002	48608	14432	128867	87356	34464	59560	76469	78741	79053	28203	66658	178443	154404	27285
a5_gac-miR-2184-5p	297	98	90	507	260	165	47	223	189	122	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	81	10	0	107	11	16	7	37	0	8	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	24	0	1	3	31	0	4	9	0	0	7	7	15	2	0	3	5	0	7
