Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	0	0	29.376567016736	0	0	6.28183685786708	0	0
a210_gac-miR-30bb-5p	355.202977925644	1097.44301399259	546.394618171609	1481.1255184252	1260.98814088438	851.281406878634	976.825631398332	1205.08912225336	704.483376930472
a89_gac-miR-30bb-3p	0	94.5336275006569	73.3072342632736	85.3969971416744	0	456.372884193059	82.7108519619166	84.6188487780807	45.6014136104372
a208_gac-miR-30a-5p	30927.5856042978	40471.0542575932	31724.9842419827	30818.7515044646	59099.3057318865	31967.6144200417	47498.0154551427	30904.1166248568	38661.8138725412
a110_gac-miR-301c-5p	0	21.3233746242083	12.7861455110361	0	0	0	9.42275528680063	40.1210058861589	0
a111_gac-miR-301b-5p	0	9.95090815796388	40.9156656353155	0	0	0	43.9728580050696	0	9.35413612521789
a143_gac-miR-29b-2b-3p	0	6.3970123872625	1.70481940147148	17.0793994283349	0	0	0	0	0
a145_gac-miR-29b-1a/2a-3p	0	126.518689436969	19.605423116922	106.57545243281	0	339.590597328842	69.1002054365379	62.7346637492667	62.5557853373946
a107_gac-miR-29b-1a-5p	0	0	9.37650670809313	35.5251508109366	0	0	25.1273474314683	61.2757180806791	23.9699738208708
a146_gac-miR-29a-3p	97.6288886696215	463.428008499461	268.509055731758	873.782074753613	296.966437912416	445.616620929249	349.688918421268	780.535932694365	689.867539234819
a33_gac-miR-29a-3b-5p	0	42.6467492484166	118.484948402268	17.7625754054683	226.828635993403	0	59.6774501497373	0	15.7851047113052
a228_gac-miR-27e-3p	546.306334470435	1656.82620830099	2028.73508775106	3577.79259224759	1528.10870563977	1951.49347786257	2895.92679147673	3548.15586600504	3112.00416215843
a59_gac-miR-27c-1-5p	1177.77829522714	941.782379235867	811.494035100424	650.383530230993	1105.78960046784	712.986593486799	696.236918413602	793.666443711653	1111.97293188528
a231_gac-miR-27c-1-3p	8541.48915339327	17172.4243640291	12117.8563056593	7902.29652750199	5422.99515263176	5328.96014269874	6783.33683368681	7916.9686705906	9772.73371682139
a36_gac-miR-27b-5p	1510.13195878329	226.738550170748	273.623513936172	316.993653389895	270.105152071092	89.1233241858498	199.971806642102	461.756304107975	349.026204172192
a230_gac-miR-27b-3p	10467.0631916218	8835.69566511779	8906.82896298774	7581.88699422642	5611.02415352103	8016.48934961342	9021.76470070678	9739.9212834908	11704.9474601867
