Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a214_gac-miR-30e-5p	1073	8304	4946	12895	3853	2280	3725	10944	4654
a95_gac-miR-30e-3p	2126	11671	7364	14784	10157	3141	7490	68443	8663
a212_gac-miR-30c-2-5p	7290	47251	23915	36986	28121	16702	24203	32830	37884
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	94	501	189	494	21	234	436	718	579
a213_gac-miR-30c-1-5p	4112	12123	6852	16323	5815	3014	10603	61387	7298
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	0	0	43	0	0	6	0	0
a210_gac-miR-30bb-5p	171	1544	641	2168	845	554	933	1652	1205
a89_gac-miR-30bb-3p	0	133	86	125	0	297	79	116	78
a208_gac-miR-30a-5p	14889	56939	37218	45111	39603	20804	45367	42365	66130
a110_gac-miR-301c-5p	0	30	15	0	0	0	9	55	0
a111_gac-miR-301b-5p	0	14	48	0	0	0	42	0	16
a143_gac-miR-29b-2b-3p	0	9	2	25	0	0	0	0	0
a145_gac-miR-29b-1a/2a-3p	0	178	23	156	0	221	66	86	107
a107_gac-miR-29b-1a-5p	0	0	11	52	0	0	24	84	41
a146_gac-miR-29a-3p	47	652	315	1279	199	290	334	1070	1180
a33_gac-miR-29a-3b-5p	0	60	139	26	152	0	57	0	27
a228_gac-miR-27e-3p	263	2331	2380	5237	1024	1270	2766	4864	5323
a59_gac-miR-27c-1-5p	567	1325	952	952	741	464	665	1088	1902
a231_gac-miR-27c-1-3p	4112	24160	14216	11567	3634	3468	6479	10853	16716
a36_gac-miR-27b-5p	727	319	321	464	181	58	191	633	597
a230_gac-miR-27b-3p	5039	12431	10449	11098	3760	5217	8617	13352	20021
a42_gac-miR-27a-5p	1	286	161	67	145	0	203	260	1539
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	0	98	70	124	0	44	27	39	93
a229_gac-miR-27a-3p	560	1236	614	1035	341	132	531	1152	1311
a74_gac-miR-26b-3p	500	288	455	547	411	188	541	77	638
a73_gac-miR-26a-1b-3p	0	506	351	182	186	289	358	126	378
a226_gac-miR-26-5p	63713	260688	274315	259636	109397	92425	187635	225507	311825
a197_gac-miR-24-6-5p	25	151	87	239	0	91	157	346	171
a206_gac-miR-24-3p	1410	6435	4954	4252	976	1907	3530	3444	10539
a199_gac-miR-24-2-5p	493	1174	506	462	662	206	658	572	1024
a119_gac-miR-23b-2-5p	883	144	157	184	171	412	182	317	500
a50_gac-miR-23b-2-3p	3591	5754	4841	5097	955	2268	4656	7071	10767
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	259	150	69	153	0	175	69	89	108
a51_gac-miR-23a-3p	59413	159924	119961	59897	29117	30890	83406	82667	167223
a114_gac-miR-23a-3-5p	328	406	397	326	212	569	316	587	1255
a112_gac-miR-23a-2-5p	0	436	316	370	155	307	554	141	878
a118_gac-miR-23a-1-5p	0	75	80	89	0	20	198	123	123
a79_gac-miR-22b-5p	2479	2047	2740	2150	1135	2323	2091	1842	4779
