Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-2188-3p	1956	15926	20743	5623	2591	2496	3305	2258	2722	6229	8609	4317	2397	26636	6019	38775
miR-2184-5p	0	257	64	0	0	0	0	0	0	9	23	3	56	93	0	35
miR-217a-5p_gac-miR-217b-5p	0	0	43	0	0	0	0	0	0	0	2	0	2	0	0	0
miR-217a-5p	0	82	196	0	28	3	0	8	4	167	1	63	18	154	22	87
miR-216b-5p	0	0	0	0	0	0	0	0	0	0	10	3	0	22	1	0
miR-214a-5p	0	0	67	0	0	0	0	0	0	0	9	33	10	12	0	0
miR-214a-3p	587	874	2396	265	68	983	354	276	437	5438	1379	1773	3958	12244	228	2724
miR-212a-5p	22	824	413	13	15	31	36	51	6	36	110	85	237	371	49	525
miR-212-3p	0	110	0	0	2	0	71	0	0	0	0	0	0	20	0	0
miR-210-5p	553	5187	7147	471	534	473	1367	45	766	789	571	1413	1923	6923	839	4307
miR-210-3p	6	520	99	17	48	0	6	0	107	229	177	253	294	1041	197	459
miR-21-5p	37602	393440	252287	22638	31117	20980	33616	11659	23896	74569	44024	105553	96627	278672	29202	283738
miR-20a-5p	33	465	555	30	33	45	41	0	5	42	46	96	133	235	103	257
miR-206-1-3p	17074	9638	4938	3616	1117	6743	3063	6901	4784	6072	6136	11235	7595	56896	706	23167
miR-205-1-5p	563	2093	1462	103	149	220	334	80	416	885	63	3903	2082	1094	86	3329
miR-204-2b-3p	22	111	150	20	13	8	3	0	106	58	32	99	30	12	8	134
miR-204-1/2b-5p	5698	8757	31658	2290	1255	5413	2713	3150	2214	7398	4792	11403	3015	11978	1216	14046
miR-200b-5p	23	0	0	0	0	0	0	0	0	0	15	30	80	48	0	69
miR-200b-3p	1498	4107	2787	148	396	289	558	692	1483	916	134	2794	6618	1685	252	3948
miR-200a-3p	515	527	1248	49	24	10	48	81	58	244	63	572	1408	624	246	1587
miR-19b-3p	1	549	189	34	103	17	5	45	16	0	48	64	48	194	100	188
miR-19b-2-5p	19	170	0	7	0	0	0	0	0	60	0	3	11	26	0	6
miR-19a-1-3p	0	84	307	17	5	0	0	0	0	0	8	17	29	4	19	80
miR-199-5p	312	784	2251	129	94	1318	305	3	213	2145	735	693	2814	7956	157	2092
miR-199-3p	2194	5436	12711	1151	873	4946	1886	714	2110	11544	4504	6620	15658	38885	834	13752
