Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a247_gac-miR-375a-3p	11982.7881561245	17123.3937396676	11567.2114878158	2437.53712764345	9487.43942807845	7097.57370078548	2448.29558467449	2776.55002456014	5856.88768030252	7566.79978232692	2550.8500761222	4136.06642292294	18447.5807295511	4588.07476649994
a116_gac-miR-365-2b-5p	1655.97780304706	36.9539633074383	47.637336715078	169.247860938262	0	78.2820628763105	493.213811068726	116.521883524706	170.881045942666	302.671991293077	229.459264890835	64.1987889732218	125.954064904871	58.8394321199993
a136_gac-miR-365-2b-3p	1266.87834152932	1007.88954762707	910.883620218613	4405.35011949447	577.078140447929	2337.27873444984	1535.18352904725	2913.04708811766	5258.80401950319	2189.61566272592	5263.32656875509	10645.7047381614	1804.22498291924	1307.07595637998
a205_gac-miR-34a-5p	0	17.2849183212211	4.330666974098	22.075807948469	0	18.6385863991215	34.4360994214651	13.3167866885379	19.2542023597371	10.3773254157626	13.3990811615086	43.3936258800481	25.4588003531122	11.2075108799999
a174_gac-miR-338-3p	0	175.233309877207	205.706681269655	651.849551367292	350.368870986242	156.564125752621	265.491218120328	132.058134661334	416.372126029314	105.502808393587	282.218146964275	376.870668602061	99.8252961214135	172.315479779998
a3_gac-miR-338-1b-5p	0	4.76825332999203	0	19.6229403986391	0	2.48514485321621	0	0	0	0	1.67488514518857	7.13319877480243	0	0
a4_gac-miR-338-1a-5p	169.654741514844	7.15237999498805	18.7662235544247	6.74538576203219	151.139512974457	13.6682966926891	26.6602060037149	27.7433056011205	34.8982417770234	20.7546508315253	16.7488514518857	29.1272283304432	16.0792423282814	42.0281657999995
a43_gac-miR-31a-5p	1062.18620774511	750.999899473745	954.912067788609	529.819390763255	250.75419198035	1790.54686674228	919.777107128165	1662.37887161914	1095.08275921005	807.701828193525	1363.3565081835	1119.91220764398	1123.53705768866	850.36988801999
a214_gac-miR-30e-5p	1978.69062658073	4949.44695653173	3569.91314231478	7907.43176376409	4411.67078401958	3578.60858863134	1740.68928365922	1347.21491999041	1225.04862513827	1919.80520191609	1986.41378219365	1597.24209232451	1414.97332488876	2154.64396667997
a95_gac-miR-30e-3p	3920.49978761476	6956.28557679213	5315.17193287628	9065.79846417126	11629.7275248603	6056.29800728789	6591.73593441852	6582.93155303388	3760.58639838615	5444.63673480346	9058.6163077524	4490.94306196936	5831.40521772338	7912.50268127991
a212_gac-miR-30c-2-5p	13443.294191774	28163.0922619317	17261.3167809256	22680.439799502	32198.4412451115	33319.5796194963	13893.2998536859	18591.3439494229	18796.9150536933	15026.3672020243	28450.4365187457	14617.1131560326	26764.5688238547	24125.5681080597
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	173.342888069514	298.611864790751	136.416009684087	302.929142403991	24.0449225186637	577.796178372768	539.869171575227	302.956897164236	546.337991957539	240.408038798501	437.145022894218	297.811048848001	345.033741627704	395.064758519995
a213_gac-miR-30c-1-5p	7582.82931640258	7225.69188993668	4945.62168441992	10009.5392539683	6658.15354504902	4608.70113028945	6798.35253094731	6387.61868160199	4119.19591733625	3023.26080445885	7156.78422539078	2761.73679231101	2702.65264801196	9684.69033917988
a210_gac-miR-30bb-5p	315.336530424329	920.272892688463	462.65958839947	1329.4542120078	967.52188229861	1071.09743173618	1026.41793114303	720.216213405089	671.49030729583	513.67760808025	1293.84877465817	939.79893858022	866.269180436159	522.550194779994
a89_gac-miR-30bb-3p	0	79.2722116111176	62.0728932954047	76.6521109321839	0	80.7672077295267	51.098728173787	55.4866112022411	97.4743994461689	50.1570728428527	76.2072741060801	75.493020366659	33.4984215172529	36.4244103599996
a208_gac-miR-30a-5p	27456.4070262447	33937.4470445521	26863.1272403299	27662.827010094	45345.2888812685	42698.5162955342	29054.0703344652	30244.6420341176	32507.1105214736	26794.2542234991	59069.8493005106	36977.9080153445	30351.5797999221	35412.9325030796
a110_gac-miR-301c-5p	0	17.8809499874701	10.826667435245	0	0	17.3960139725134	0	0	4.81355058993427	0	2.51232771778286	4.75546584986828	50.9176007062243	1.40093885999998
a111_gac-miR-301b-5p	0	8.34444332748606	34.645335792784	0	0	2.48514485321621	0	14.4265189125827	7.2203258849014	57.0752897866945	5.02465543556572	29.7216615616768	14.0693370372462	29.4197160599996
a145_gac-miR-29b-1a/2a-3p	0	106.093636592323	16.6008900673757	95.6618344433655	0	101.890938981864	28.8818898373578	38.8406278415687	87.8472982663004	53.6161813147736	78.719601823863	52.9045575797847	11.389463315866	46.2309823799994
a107_gac-miR-29b-1a-5p	0	0	7.93955611917967	31.8872781477885	0	67.0989110368375	54.4312539242513	57.7060756503307	20.4575900072206	32.8615304832483	25.9607197504229	12.4830978559042	14.7393054675913	30.8206549199996
a146_gac-miR-29a-3p	86.6714440347572	388.612646394351	227.360016140145	784.304399058106	227.854265772099	483.360673950552	329.920049295972	309.615290508505	318.897726583145	228.301159146778	221.084839164892	425.019760331978	102.505169842794	106.471353359999
a33_gac-miR-29a-3b-5p	0	35.7618999749403	100.32711823327	15.9436390738943	174.039439182709	59.6434764771889	58.8746215915371	75.4617912350478	56.5592194317276	24.2137593034461	62.8081929445715	38.0437267989463	77.0463694896816	33.6225326399996
a228_gac-miR-27e-3p	484.991271939173	1389.34981402643	1717.83123305887	3211.41683961478	1172.47622186246	1016.42424496543	1461.86796253704	1782.22995181598	2521.09712147807	1482.2279802181	1828.97457854592	2913.31726627556	1297.72884957838	2185.46462159997
a59_gac-miR-27c-1-5p	1045.58954824909	789.741957779931	687.132493223549	583.782476859513	848.442266015704	581.523895652592	332.141733129615	324.041809421088	456.083918396272	702.199019799938	665.766845212458	751.958037510422	432.799606002907	530.955827939994
a231_gac-miR-27c-1-3p	7582.82931640258	14400.1250565759	10260.7936172962	7093.07973722057	4160.91659203923	8244.46805054476	3683.55179617995	4301.32210039773	5639.07451610799	8026.8612090924	4358.05114778067	7379.29413253311	3167.61073867143	5910.56105033993
a36_gac-miR-27b-5p	1340.64127262273	190.134101533432	231.690683114243	284.532635780267	207.244332184673	257.212492307877	278.821321122185	261.896804874578	400.728086612028	377.042823439376	338.326799328092	380.437267989463	299.475888364241	428.687291159995
a230_gac-miR-27b-3p	9292.28524449237	7409.26964314137	7541.85653539167	6805.48101700302	4305.18612715121	5244.8982127128	5683.06724645857	5791.69247728992	6505.51362229616	7985.35190742935	5713.03323023822	6396.10156807284	4293.15770165113	5697.61834361993
a42_gac-miR-27a-5p	1.84407327733526	170.465056547215	116.20623047163	41.0855314596506	166.024465009821	91.9503595689996	118.860085099896	108.753757956392	74.6100341439811	399.527028506861	156.601761075132	102.242515772168	176.20169718075	96.6647813399988
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	0	58.4111032924024	50.5244480311433	76.0388940447264	0	48.460324637716	28.8818898373578	54.3768789781962	48.1355058993427	91.6663745059033	113.892189872823	76.0874535978925	16.7492107586264	99.4666590599988
a229_gac-miR-27a-3p	1032.68103530774	736.695139483769	443.171587016029	634.679478518483	390.443741850682	293.247092679512	244.38522170072	78.7909879071823	157.643781820347	375.313269203415	181.72503825296	176.54666967636	165.482202295229	233.956789619997
a74_gac-miR-26b-3p	922.036638667629	171.657119879713	328.408912202432	335.429637439237	470.593483579561	285.791658119864	291.040582207221	412.820387344673	223.830102431943	240.408038798501	145.715007631406	184.86873491363	545.354302300876	96.6647813399988
