Gene	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a122_gac-miR-33-5p	0	0	0	0	2	0	0	0	0	0	8	0	0
a43_gac-miR-31a-5p	882	945	630	2046	1441	828	1498	910	467	1628	1884	1677	607
a214_gac-miR-30e-5p	2280	3725	10944	4654	2880	1567	1214	1018	1110	2372	2687	2112	1538
a95_gac-miR-30e-3p	3141	7490	68443	8663	4874	5934	5932	3125	3148	10817	7555	8704	5648
a212_gac-miR-30c-2-5p	16702	24203	32830	37884	26815	12507	16753	15620	8688	33973	24590	39949	17221
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	234	436	718	579	465	486	273	454	139	522	501	515	282
a213_gac-miR-30c-1-5p	3014	10603	61387	7298	3709	6120	5756	3423	1748	8546	4646	4034	6913
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	6	0	0	0	0	0	0	0	0	0	0	0
a210_gac-miR-30bb-5p	554	933	1652	1205	862	924	649	558	297	1545	1581	1293	373
a89_gac-miR-30bb-3p	297	79	116	78	65	46	50	81	29	91	127	50	26
a208_gac-miR-30a-5p	20804	45367	42365	66130	34363	26155	27254	27013	15492	70536	62207	45303	25278
a110_gac-miR-301c-5p	0	9	55	0	14	0	0	4	0	3	8	76	1
a111_gac-miR-301b-5p	0	42	0	16	2	0	13	6	33	6	50	21	21
a63_gac-miR-301a-3p	0	0	0	0	0	0	6	0	0	0	5	0	0
a143_gac-miR-29b-2b-3p	0	0	0	0	0	2	0	0	3	1	0	0	1
a145_gac-miR-29b-1a/2a-3p	221	66	86	107	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	0	24	84	41	54	49	52	17	19	31	21	22	22
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	0	0	1	7	0	7	4	0	5	0	0
a146_gac-miR-29a-3p	290	334	1070	1180	389	297	279	265	132	264	715	153	76
a33_gac-miR-29a-3b-5p	0	57	0	27	48	53	68	47	14	75	64	115	24
a228_gac-miR-27e-3p	1270	2766	4864	5323	818	1316	1606	2095	857	2184	4901	1937	1560
a35_gac-miR-27e-1-5p	0	0	0	0	0	0	0	10	0	0	0	0	0
a59_gac-miR-27c-1-5p	464	665	1088	1902	468	299	292	379	406	795	1265	646	379
a231_gac-miR-27c-1-3p	3468	6479	10853	16716	6635	3316	3876	4686	4641	5204	12414	4728	4219
a36_gac-miR-27b-5p	58	191	633	597	207	251	236	333	218	404	640	447	306
a230_gac-miR-27b-3p	5217	8617	13352	20021	4221	5116	5219	5406	4617	6822	10760	6408	4067
a42_gac-miR-27a-5p	0	203	260	1539	74	107	98	62	231	187	172	263	69
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	44	27	39	93	39	26	49	40	53	136	128	25	71
a229_gac-miR-27a-3p	132	531	1152	1311	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	188	541	77	638	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	289	358	126	378	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	92425	187635	225507	311825	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	91	157	346	171	33	98	43	59	68	80	88	45	32
a196_gac-miR-24-4a-5p	0	0	0	9	0	0	0	0	0	0	0	0	0
a206_gac-miR-24-3p	1907	3530	3444	10539	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	0	0	0	0	13	0	0	17	11	6	25	36	0
a199_gac-miR-24-2-5p	206	658	572	1024	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	412	182	317	500	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	2268	4656	7071	10767	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	175	69	89	108	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	30890	83406	82667	167223	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	569	316	587	1255	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	307	554	141	878	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	20	198	123	123	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	2323	2091	1842	4779	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	107	56	314	257	73	108	98	112	56	102	236	231	52
a45_gac-miR-22a-5p	3762	2028	2670	7613	1131	3599	3204	2113	1371	3411	5862	4421	1019
