Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
let-7f-5p	9279	46254	16609	15898	15447	19986
let-7e-5p	145044	516807	177138	206614	192891	293701
let-7e-1-3p	5	22	86	61	99	40
let-7d-5p	25513	100597	46394	54162	18534	43883
let-7c-2/d-3p	0	0	0	83	0	53
let-7c-2-5p	8196	44922	23082	13436	6684	15258
let-7b-5p	130867	329864	160434	175921	97279	228138
let-7a-5p_gac-let-7c-2-5p	638	3485	1195	1386	826	1110
let-7a-5p	391096	1293105	527049	551347	427019	789401
let-7a-5-3p	2	204	75	463	362	189
let-7a-3/7-3p	226	95	31	104	117	297
REV_let-7f-5p_REV_gac-let-7g-5p	0	59	0	67	14	0
REV_miR-1306-5p	206	102	4	332	135	122
REV_miR-137-1-3p	46	0	0	0	0	0
REV_miR-18a/b-5p	0	0	31	0	0	54
REV_miR-190b-5p	0	0	0	0	0	44
REV_miR-191-5p	82940	187202	36265	51170	71652	243602
REV_miR-19b-3p	0	0	0	232	0	68
REV_miR-210-3p	328	10	0	131	53	0
REV_miR-733-3p	0	842	0	0	0	0
REV_miR-8159-5p	0	0	14	37	0	48
REV_miR-9-1/3/5/6-3p	0	69	0	0	1	32
