;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-212a-5p;9.51664475387944;6.92342300844679;3.91203325861347;1.76977611148956;0.0767644448911513;0.782125723546797
miR-196a-5p;102.435127579081;-3.04897903728608;1.99731829849155;-1.52653637609427;0.126876338396025;0.782125723546797
miR-142-3p;256.676247020221;-2.88557779179378;1.95029894900299;-1.47955665631103;0.138991600887307;0.782125723546797
miR-135c-5p;6.30586546099343;-6.02613735839339;3.91279840397899;-1.5401093376713;0.123533704055185;0.782125723546797
miR-130b-3p;6.10282440769204;6.29184019300691;3.9149238453442;1.60714242257597;0.10802312907899;0.782125723546797
miR-125b-2/3-5p;24535.6190774179;0.890973356797849;0.592277828805605;1.50431657824267;0.132499872444519;0.782125723546797
miR-10545-5p;5.08345969161727;-5.71783580214755;3.91423438386818;-1.46078012745292;0.144075791179673;0.782125723546797
REV_miR-137-1-3p;9.05826780584117;6.85523863917872;3.9122881294473;1.75223255863499;0.0797338272801001;0.782125723546797
REV_miR-190b-5p;5.20167968444557;-5.75095507105495;3.91406503731166;-1.46930493393256;0.141750099171438;0.782125723546797
miR-194b-5p;4.61057972030403;-5.57718758389736;3.91499837495269;-1.42456957826062;0.154281659106051;0.814264311948604
let-7a-5-3p;191.239646051984;-1.85849309706368;1.32608624971507;-1.40148734478093;0.161068389297442;0.827107945040916
miR-22b-5p;400.550808188635;-1.15860804521427;0.841334194893878;-1.37710799376271;0.168478861618981;0.842394308094906
miR-489-3p;79.8808738634032;-2.91143711473822;2.19744943458911;-1.324916545933;0.18519883235684;0.858238491409748
miR-365-2b-3p;1762.80617587033;-0.938651119781669;0.694070156430998;-1.35238651465486;0.176251701119272;0.858238491409748
miR-148a-3p;232.2850532332;-1.44542382989162;1.08085730676597;-1.33729385076414;0.181126737435614;0.858238491409748
miR-7-5p;183.589657292009;2.04023947092602;1.63770336805513;1.24579304819341;0.212840382430164;0.9213767447907
miR-214a-3p;5138.6249329869;1.10797637439574;0.887240952844749;1.24878858538174;0.21174240999135;0.9213767447907
miR-16c-5p;32775.7254765425;-0.787452062331735;0.639204406962886;-1.23192527109322;0.217977000390294;0.9213767447907
miR-145-3p;255.832236988441;-1.13303405570954;0.920213578053826;-1.23127291612651;0.218220807976745;0.9213767447907
miR-9-7-3p;513.575964501596;-1.00067893480861;0.861844239397776;-1.16109024005062;0.245605203395763;0.924740826013477
miR-725-3p;5387.44089001855;-1.33451348973494;1.49624517661445;-0.891908298581482;0.372442086255572;0.924740826013477
miR-7132b-5p;633.081605231243;-0.93967967969786;0.952529503343369;-0.986509789355179;0.323883013842813;0.924740826013477
miR-455-3p;151.899424620572;-1.51189109152922;1.71111656030676;-0.883569902016598;0.376928432506022;0.924740826013477
miR-451-5p;17186.5543846878;0.719511737578139;0.74774943127621;0.962236422366947;0.335930857216035;0.924740826013477
miR-30c-2-5p;19636.6318495834;-0.941775816697425;0.87909577012742;-1.07130058942374;0.284034294889789;0.924740826013477
miR-30c-1-5p_gac-miR-30c-2-5p;319.416002605295;-1.18815528690637;1.40091775671725;-0.848126366597388;0.39636759909841;0.924740826013477
miR-30bb-5p;366.627363053173;-1.05506809664762;1.06371372858109;-0.991872219281213;0.321259862449485;0.924740826013477
miR-27b-5p;159.917149076727;-1.1333853635608;1.16973766936363;-0.968922685184096;0.332583765983719;0.924740826013477
miR-27a-3p;235.405727339791;1.09334598507597;1.29286585779232;0.845676276843566;0.397733360819423;0.924740826013477
miR-26a-1b-3p;67.7771745463914;-1.65566875817005;1.77943440811951;-0.930446635523785;0.352139882021758;0.924740826013477
miR-24-2-5p;97.4251573041966;-1.48387600594707;1.64469308572063;-0.902220614186448;0.366939686405761;0.924740826013477
miR-22a-3p;115759.975975812;0.586947795149336;0.602733430348916;0.973809922588097;0.330150925400821;0.924740826013477
miR-223-3p;7357.19093758594;-0.841412276592955;0.828261093811325;-1.01587806415138;0.309687455880664;0.924740826013477
miR-221-3p;1859.23546300854;-0.878132677260524;0.933081403872471;-0.941110468621603;0.346648251330454;0.924740826013477
miR-205-1a-3p;91.168224124987;-2.32611889929042;2.65930188221997;-0.874710357196675;0.381731523219843;0.924740826013477
miR-204-1/2b-5p;13711.9171397683;-1.30722146545426;1.19826626125818;-1.09092737375554;0.275304840960082;0.924740826013477
miR-200b-5p;57.7780247618523;-1.97374768833224;2.0039770172417;-0.984915331538549;0.324665661848356;0.924740826013477
miR-18a-3p;99.2668419277422;1.78050523593903;1.78562540501048;0.997132562598469;0.318700169202336;0.924740826013477
miR-183-5p;8171.10863348162;1.11168702954016;1.19873761470642;0.927381451872122;0.353728517455463;0.924740826013477
