		B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
nomCol	Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-338-1a-5p	miR-338-1a-5p	18	0	38	6	27	111	0	0	0	16	20	0	42	0	0	0	0	0	0	0	0	0	28	10	75	184	4	1	0	0	0	0	16	0	17	3	51	36	28	0	0	0	0	7	5	31	0	0
miR-31a-5p	miR-31a-5p	55	98	141	170	35	347	304	447	193	1608	266	5	148	2	0	264	275	23	0	3	24	3	189	277	61	191	43	155	65	14	288	543	167	0	178	268	111	354	135	464	0	0	0	34	96	103	5	140
miR-30e-5p	miR-30e-5p	1445	459	882	214	212	800	569	2037	596	10003	3486	1325	3190	274	254	2886	1612	85	339	304	73	158	1534	458	1369	2196	613	1225	181	1287	1197	1535	1077	911	844	741	744	490	989	1561	76	125	332	584	794	1009	351	1658
miR-30e-3p	miR-30e-3p	2898	1438	1875	505	763	3716	37282	89370	5439	4721	6140	9593	12249	1442	517	23178	9835	1656	1712	1157	1340	1406	7401	2193	6021	6918	540	1739	468	13385	38809	125486	1124	5786	1296	2334	960	2160	1646	6732	2281	1135	2007	1950	1505	3299	580	3385
miR-30c-2-5p	miR-30c-2-5p	6302	3035	6971	1505	1175	6110	21141	20279	1748	9428	21543	14916	15483	3871	534	19482	6222	451	4386	1704	966	639	7678	4274	7191	11224	1041	5949	968	14526	21812	61196	2331	7977	2208	6680	1770	8839	3809	7184	1048	825	1701	3945	5263	10566	995	6791
miR-30c-1-5p_gac-miR-30c-2-5p	miR-30c-1-5p_gac-miR-30c-2-5p	63	53	45	18	10	50	337	295	2	196	214	345	45	67	15	126	10	15	148	27	11	4	111	79	74	144	30	88	2	148	171	1458	12	105	44	120	0	107	54	83	1	4	3	7	72	240	26	171
miR-30c-1-5p	miR-30c-1-5p	2028	1034	2736	466	355	2310	22498	30715	623	3364	3377	4802	1224	607	127	2613	2605	90	1028	287	76	389	3062	1378	3612	4401	261	1737	459	3759	15863	77077	889	1126	895	3615	817	2917	1475	2251	176	24	228	1062	1092	1554	117	1665
miR-30bb-5p	miR-30bb-5p	634	205	802	163	114	757	446	236	26	1949	1579	945	1411	389	39	1878	567	40	130	91	98	167	1110	655	959	1727	229	578	66	352	428	1066	404	900	338	474	128	787	565	495	36	0	129	400	376	811	106	420
miR-30bb-3p	miR-30bb-3p	17	0	16	12	20	45	0	61	41	74	119	114	199	0	6	565	523	10	0	9	4	35	92	6	61	81	4	67	20	49	0	5	34	88	38	33	0	47	4	0	8	0	0	38	15	57	20	61
miR-30a-5p	miR-30a-5p	33090	12623	28490	5939	10513	37527	12062	22805	9424	37681	42720	37403	56965	8623	4605	48631	37712	4313	11335	7115	5667	5702	47111	22315	35134	48410	8502	18234	4266	12399	12920	20175	21226	34876	12350	15631	12015	15765	13539	25757	8800	2581	6713	12000	13013	54151	6704	38620
