Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-181a-5p	10841.1988027141	8767.53573300256	5584.35424513898	3881.0491670165	4438.25827624211	8993.60614289524	2848.3149908229	3642.96834985398	3998.19101393805	2123.7146015879	5616.55954023706	2416.68041073799	3501.66213020775	1257.80605315459	3294.43284710346	3556.89710903401	5140.72620186789	2633.2413675882	5800.11598565777	3363.89759809448	3435.65483707192	4192.83977880706	5082.84512968814	9378.14579714334	6058.21374907026	4178.65200987622	5764.55122488511	4521.42111821653	7244.85276046048	6394.19025639648	3815.27009919645	4857.00904490648	3130.47225578033	2280.29376697075	2863.92553902939	2387.22685296988	4024.84767276601	2057.18374857685	2169.19214934377	2037.48641738908	3354.90375180629	2152.76124013523	4878.15081124943	3373.9216961985	4112.64451444041	5081.08871063571	4411.54675277423	4155.39043443141
miR-181a-3-3p	470.706770896613	370.980083396435	267.961760402819	403.94593370988	880.315691155461	409.329208726033	122.508171648297	204.010812104454	454.863320998137	80.4597755337391	103.954883745587	97.9620187644938	58.2688036912882	159.017967341824	0	0	0	0	0	0	0	0	303.083019496089	360.666172080581	256.388269059257	220.624371055747	216.890816221427	610.026179413039	1022.37008497869	609.532735347201	293.417457352567	219.031492311219	58.3602913205801	109.332860414928	73.3375548405424	78.4446258205141	141.793276125241	82.2015743871916	112.01312736996	138.169625470717	0	0	0	0	0	0	0	0
miR-181a-2-3p_gac-miR-181a-3-3p	24.9051201532599	1.19286200449014	49.8533507726175	15.8410170082306	33.0118384183298	15.0589341002889	273.667447956276	186.245825657156	172.732906708153	19.0562626264119	28.1606889685451	28.1108401672026	16.6017261913726	0	3323.37754464191	6381.04288230136	6124.79260018314	6928.23699627576	4412.78930849501	2799.48524942091	4210.0852306742	4933.49111697957	8.27273750485604	18.9824301095043	4.38270545400438	16.6459106305534	0	55.0658328384126	22.0655414024177	117.331361888868	277.397538704007	371.152580966008	0	33.5576106224037	2.82067518617471	12.5511401312823	0	5.0035740931334	3.09001730675751	41.7602226236122	4430.07276623509	5312.72696794298	2727.81330410988	3408.40811898758	2643.04047761902	2020.77230657518	2598.04227889027	3285.17803763099
miR-181a-2-3p	921.489445670618	709.752892671636	1368.63027042951	784.130341907415	1692.77371445102	639.320202257718	5108.78835155922	3874.4862377478	2137.28183233555	251.542666668637	677.953607827847	511.958028499659	505.213314686477	431.433993361834	0	0	0	0	0	0	0	0	708.823190756983	807.99126422629	539.072770842539	475.861667390899	464.281903473992	1453.22174475123	1702.7242782199	3328.8161854131	3813.58379197029	5909.84710585936	182.29394367552	714.993606970891	162.658935736075	414.815181338879	150.899266335119	174.41029696065	404.019762858544	487.718155579471	0	0	0	0	0	0	0	0
miR-181a-1-3p	224.14608137934	146.722026552288	131.644004383943	240.255424624831	641.89685813419	157.092062546195	489.044717466991	190.257274209772	137.034772655135	16.515427609557	3.59498157045257	142.257888118874	41.0160294139794	0	265.764950125758	124.359220602676	47.9117848460011	15.3392701024556	0	33.8647409204142	0	0	92.5042466452084	168.36590184082	92.913355624893	61.8276680563411	189.779464193749	197.892836763045	661.966242072531	273.773177740692	483.970173909119	596.474794988515	31.4752132964927	42.2176391701207	15.98382605499	38.2809774004109	0	0	20.0851124939238	14.435632511866	32.937343986878	94.0795400573237	7.5983657496097	85.0665095464016	112.339432974533	86.9305168628864	208.947254599673	144.334067747846
miR-17a-5p	215.844374661586	33.400136125724	7.01062745239933	26.4016950137177	0	21.5616556435954	73.1097153384997	0	0	94.8578406292504	81.4862489302582	65.1660385694241	58.2688036912882	53.4404644345475	2.63133613985899	174.251842042072	321.633894792285	127.827250853796	18.1745852903419	176.096652786154	239.369394386158	97.2889469633376	53.7727937815642	56.9472903285128	54.3455476296544	67.1120841295327	101.667570103794	28.3933200573065	0	0	135.747731706216	20.5878165096707	30.1637460758055	110.415363983393	17.8642761791065	14.4338111509746	0	20.7290926715527	29.3551644141963	2.06223321598085	0	0	7.5983657496097	13.7945691156327	69.4461949297115	102.50556780082	319.334483444783	25.6687409114244
miR-16c-5p	37266.3614559946	46631.3614795287	19886.0342480336	26475.6197597561	15913.5401086582	26967.1284885945	30490.7031726592	12720.8764244232	15899.4882861298	34586.269721932	24653.1852829736	40258.9823376412	65719.3979867419	30500.1675065466	19677.1316538656	56504.8831121001	49047.9190831754	45526.9536640881	39738.1249178228	34819.7266143699	92152.5233211339	8649.30122035349	29522.3918866476	28128.6601300923	35985.5179417392	27291.8952516051	28436.4193580312	34142.537167092	17067.6962747701	38745.1770816038	39744.5750134635	25682.1573282303	40631.8774313306	51875.7360079622	39558.0890359761	29320.7184606885	43723.0624206006	31495.3545273777	26499.9884227524	23502.2408459258	57534.481942793	37919.588733693	26361.2635739793	31236.6522149239	34790.5011246405	32770.2693838997	45743.6791532076	35948.4404479029
miR-16a-5p_gac-miR-16c-5p	2043.88019391087	1437.39871541062	1444.96821380008	1547.13932780385	885.817664225182	1585.29506255768	951.414268526692	625.2129101291	996.09309535035	8300.48452756222	4709.42585729286	4317.9954184106	6727.27987197856	4353.44271247289	1623.534398293	5262.92689586473	3406.7362146587	3574.04993387214	2228.20415659591	3174.25504894016	6026.47651748681	1669.60386401599	1973.79996195406	1679.53240316701	1895.9583794023	1835.54192302309	3446.53062651861	2106.26810606928	985.594182641324	1641.16320025687	1218.35697090362	1303.89504561248	4405.87412789863	6781.3436046467	5781.44390659609	4327.00556025956	5941.00818407316	4519.6569986975	3318.67858745756	4329.6586369518	2613.81351210153	1294.9771984361	3105.19880300716	2371.51634046252	2916.74018704788	2395.66016054638	3591.52733849626	2296.72111302548
miR-16a-5p	3030.12295197996	2116.13719596552	1117.80559935478	1425.69153074075	1276.45775217542	1828.63374767826	646.131808532146	1087.10255775885	678.264547007348	0	0	0	0	0	371.018395720118	909.981841775267	1065.72474466148	659.588614405589	470.115939510176	650.203025671953	1408.05526109505	1054.48665095746	2252.81683598148	2152.44250980813	2605.51839240561	3616.12591888498	3432.97495050477	1940.21020391594	1125.3426115233	934.96122964274	1307.73125389032	445.497473917596	0	0	0	0	0	0	0	0	677.568219158633	763.704501641804	544.549545388695	911.59110905806	677.100400564687	598.371724406202	674.150576161209	536.518764951904
miR-15c-5p	87678.4754995516	90352.1396681015	47611.5079050613	50749.3381553681	30860.5669480686	46760.0438724106	24468.0433793687	13751.8187024455	10587.3756284984	35655.5377915251	16950.3381046839	16388.1938956584	34842.1404150466	28339.087261852	15040.717375434	24902.3754261921	22019.0064425739	28459.4591300892	33420.6390709	25276.6426229972	35234.2361501351	14376.795678679	58909.035671511	44095.3598213301	58659.8828785763	46128.4605653	63735.3996980684	38121.0435896673	18512.9892366285	24647.7032606923	29358.6088075183	21214.0292618398	35421.4181635404	24774.1766678816	41238.2712218742	25584.8716006123	21365.254743862	27987.1342917922	23965.4017268845	34913.6083465558	30252.9504519475	11372.556165753	20074.8823104688	18876.718287317	21659.04267749	29358.6088075183	41004.9131149283	15212.3057817853
