Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a22_gac-miR-181a-2-3p	474	1336	860	2277	2872	702	1223	993	847	663	3106	2600	1592	1703
a24_gac-miR-181a-1-3p	0	501	120	399	212	229	71	117	109	54	234	345	213	102
a2_gac-miR-17a-5p	102	703	219	380	0	105	36	78	58	79	164	181	170	66
a31_gac-miR-17a-1-3p	0	7	7	38	0	4	12	13	6	0	3	12	0	0
a115_gac-miR-1788-5p	0	24	0	0	0	0	0	0	0	0	0	0	31	0
a150_gac-miR-16c-5p	77685	345634	433016	271277	178808	244875	158362	210284	128152	82089	190396	279133	377826	125561
a149_gac-miR-16a-5p_gac-miR-16c-5p	3811	19944	17967	13731	8108	11388	8931	7133	6971	4557	8629	14792	13817	5425
a151_gac-miR-16a-5p	1381	13992	16799	12818	6874	9059	4663	5068	5039	3134	6403	7045	11721	4324
a152_gac-miR-15c-5p	63535	162149	132000	115245	88489	105889	74467	101621	48799	46996	94455	111205	179681	57189
a147_gac-miR-15b-1-5p	122	965	191	686	0	696	296	169	218	88	240	685	279	106
a148_gac-miR-15a-2-5p	14405	75384	75608	52344	16500	56312	29705	39143	30538	20874	37537	62530	57125	24202
a225_gac-miR-155-5p	263	2243	729	1025	1311	704	165	328	286	321	1075	665	414	423
a235_gac-miR-153c-3p	0	0	1	45	0	0	0	0	0	0	0	0	0	0
a16_gac-miR-152a-5p	156	1116	625	1299	811	549	413	415	440	399	710	1173	966	376
a169_gac-miR-152a-3p	389	2255	1541	1597	174	792	656	529	633	581	583	1057	986	507
a29_gac-miR-150-5p	5177	7871	2681	16310	4507	4491	7931	3117	2848	2747	4688	4248	7173	5554
a78_gac-miR-150-3p	0	7	6	148	0	11	22	9	7	3	5	8	0	14
a170_gac-miR-148a-3p	250	1047	1034	2055	189	474	868	454	590	330	845	784	962	584
