Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	0	4	13	2	41	0	0	0	0	0	0	30	15	0	0	0	9	55	0	14	0	0	4	0	3	8	76	1
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	9	9	38	0	0	13	0	68	0	0	0	14	48	0	0	0	42	0	16	2	0	13	6	33	6	50	21	21
a63_gac-miR-301a-3p	0	0	0	0	0	0	0	0	4	9	1	4	0	7	0	15	0	0	0	1	0	8	7	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	57	0	2	0	9	2	25	0	0	0	0	0	0	2	0	0	3	1	0	0	1
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	47	71	19	194	60	82	67	184	262	13	0	178	23	156	0	221	66	86	107	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	40	9	30	21	0	31	9	85	0	7	0	0	11	52	0	0	24	84	41	54	49	52	17	19	31	21	22	22
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	19	0	5	2	0	4	0	0	0	0	13	1	5	0	0	1	6	13	0	4	0	0	0	0	0	0	0	0	0	1	7	0	7	4	0	5	0	0
a146_gac-miR-29a-3p	461	384	367	260	795	196	145	576	122	608	1516	306	413	580	344	596	107	1118	2021	146	47	652	315	1279	199	290	334	1070	1180	389	297	279	265	132	264	715	153	76
a33_gac-miR-29a-3b-5p	48	44	35	191	352	43	1	27	56	161	110	55	57	146	29	57	50	124	445	15	0	60	139	26	152	0	57	0	27	48	53	68	47	14	75	64	115	24
a228_gac-miR-27e-3p	3544	3923	3711	2993	2295	6252	3523	3505	1689	1865	3991	1345	1240	3751	2047	1515	578	9943	3367	1319	263	2331	2380	5237	1024	1270	2766	4864	5323	818	1316	1606	2095	857	2184	4901	1937	1560
a35_gac-miR-27e-1-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	19	0	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
a59_gac-miR-27c-1-5p	1116	996	799	1270	550	906	1138	262	339	481	492	557	880	706	307	838	228	1241	843	230	567	1325	952	952	741	464	665	1088	1902	468	299	292	379	406	795	1265	646	379
a231_gac-miR-27c-1-3p	7601	7760	12886	7101	9117	6219	6223	3930	3101	4150	7243	12342	11635	9857	3766	8288	1756	10092	5311	4510	4112	24160	14216	11567	3634	3468	6479	10853	16716	6635	3316	3876	4686	4641	5204	12414	4728	4219
a36_gac-miR-27b-5p	643	923	550	514	250	519	835	233	265	349	334	223	312	590	159	282	87	1149	865	157	727	319	321	464	181	58	191	633	597	207	251	236	333	218	404	640	447	306
a230_gac-miR-27b-3p	13330	17581	12015	7902	6236	9420	9225	7293	3833	5481	10640	5510	7552	16247	3502	4998	2737	25261	11387	5054	5039	12431	10449	11098	3760	5217	8617	13352	20021	4221	5116	5219	5406	4617	6822	10760	6408	4067
a42_gac-miR-27a-5p	183	108	296	200	88	259	147	226	73	66	204	59	109	214	6	123	20	408	277	89	1	286	161	67	145	0	203	260	1539	74	107	98	62	231	187	172	263	69
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	117	75	174	109	11	132	12	58	52	80	168	45	91	140	12	105	3	230	236	57	0	98	70	124	0	44	27	39	93	39	26	49	40	53	136	128	25	71
a229_gac-miR-27a-3p	793	276	1170	257	458	490	345	233	123	174	577	298	471	1068	488	632	169	1794	1067	685	560	1236	614	1035	341	132	531	1152	1311	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	325	383	422	233	1033	620	236	285	233	1438	880	345	378	407	208	663	151	367	848	137	500	288	455	547	411	188	541	77	638	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	216	149	230	197	436	179	77	218	159	317	216	245	284	383	57	158	67	200	217	102	0	506	351	182	186	289	358	126	378	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	100716	148537	144579	166390	293821	161126	104596	98255	71535	313173	344753	169085	235151	232387	119012	212832	48560	290884	253433	61408	63713	260688	274315	259636	109397	92425	187635	225507	311825	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	147	88	141	112	15	141	75	220	35	1	60	50	66	234	52	60	15	363	246	156	25	151	87	239	0	91	157	346	171	33	98	43	59	68	80	88	45	32
a196_gac-miR-24-4a-5p	5	0	0	0	53	0	0	0	0	0	0	0	0	3	8	0	0	24	0	0	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
a206_gac-miR-24-3p	5577	5370	6682	3595	3213	4592	3186	2318	2040	1776	4382	3075	3818	4537	2404	3303	787	10568	3391	1630	1410	6435	4954	4252	976	1907	3530	3444	10539	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	20	8	42	15	0	12	16	0	2	0	0	16	8	37	0	13	6	65	0	3	0	4	9	0	0	0	0	0	0	13	0	0	17	11	6	25	36	0
