Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a104_gac-miR-130c-2-5p	118.70745978544	84.344334263869	164.845233785174	200.951479499586	320.883794951578	303.860697236127	104.870542144215	343.984606992069	198.075848303698	147.384789167043	131.140754058437	160.86111401711	132.354949191671	67.3123755874977	128.65835868013	274.334357568996	77.2678528571021	70.2913915109686	139.055454089793	78.279451816801	0	134.319678717872	229.145958607538	82.9973360280906	161.563382447347	80.9036869464936	46.1951292351562	62.4302649183735	179.02661648944	142.660047714816	80.9502738761915	100.622416766878	120.009530060906	114.417435473877	61.8346035705531	123.586616692021	277.572098814348	183.483735835512
a30_gac-miR-130b-5p	6004.61900748017	7468.83622033157	6890.80899202412	6216.83085527501	4622.00698164667	11288.4249023221	6993.97264576683	9248.53748745162	9856.70881189961	9337.81757798682	6301.44704960388	8184.50254249121	7266.87062951624	2748.68622399034	5675.03978990636	8516.55772275306	5449.22333720801	3391.40412847611	8173.66885352511	3982.46711117975	12969.7326164509	6267.85011990212	6954.90928681026	3792.58920647111	8497.73294500193	4295.25028879566	5012.6629595595	4994.42119346988	5971.2505977761	6513.16907497985	4074.87716666913	5196.58881258277	3836.43368678575	7221.01148324021	3311.9630131625	6403.52565181625	10594.2330814966	7134.98136992889
a62_gac-miR-130b-3p	48.4722127457213	36.355316493047	70.2505004738504	40.5280294789082	68.017762022155	20.2573798157418	0	121.789144637732	17.8592977978744	56.8853572223675	80.9593430666882	264.86614463162	89.5342303355422	45.070025393368	38.1954502331636	262.141719454819	103.023803809469	26.7480516369173	30.6029377726571	31.8010273005754	0	115.045105987056	128.84884573459	76.513169150896	0	198.581777050484	78.6300072087765	123.546208470044	94.0021762097944	66.4107118672417	12.5415917272973	17.888429647445	45.1648769046422	36.3229953885323	22.8703328274648	49.062023711908	65.9233734684075	56.6860322093452
a70_gac-miR-1306-5p	137.502807584801	338.831549715198	138.414352418775	102.164407644748	91.2238220061843	123.714712446138	102.639254013487	436.953419692628	168.851542816267	544.720390371762	491.777827719139	149.767244084895	212.157197969002	94.2373258224967	398.036797166652	165.616667717579	66.2295881632304	152.40168955918	469.245045847408	90.5106161631761	2417.46393267776	92.7588812670504	153.740100024227	171.830422245656	162.815811768644	1894.61725067425	172.003140769199	117.631762319883	166.880267878062	186.93385562631	287.316465025356	441.620606921298	94.2010289725394	145.291981554129	66.9168997544342	100.608200523153	314.350401907249	98.4546875214943
a12_gac-miR-129-1b/2-3p	18.7953477993613	0	6.95549509642083	0	0	8.6817342067465	0	0	0	0	3.34542739944992	0	4.86599077910556	4.09727503576073	0	0	0	8.70866797481027	0	0	0	0	0	0	0	0	0	0	7.39342958953439	0	0	7.82618797075719	6.45212527209174	0	14.399839187663	21.1153013443655	0	0
a96_gac-miR-129-1a/2-5p	0	11.633701277775	11.1287921542733	59.1033763234077	20.8054330891298	11.5756456089953	10.0407965882759	0	25.9771604332719	38.7854708334324	18.7343934369196	2.77346748305361	5.83918893492667	9.95052508684748	0	0	202.368186054315	21.1496222245392	0	19.5698629542002	0	6.62563437621789	5.12467000080756	22.0461673824616	0	0	58.9725054065824	0	51.7540071267407	19.6772479606642	14.8218811322604	0	232.276509795303	0	45.7406656549297	29.1887989172111	0	19.3925899663549
a117_gac-miR-128-2-5p	4.94614415772666	0	15.9976387217679	2.53300184243176	0	7.23477850562208	0	78.0938026684696	3.24714505415899	0	0	0	0	4.6826000408694	0	0	0	36.078767324214	0	0	0	4.21631278486593	10.2493400016151	0	0	0	0	0	3.16861268122903	2.45965599508303	5.70072351240785	0	0	0	0.847049363980179	3.10519137417139	0	5.96695075887844
a166_gac-miR-128-2-3p	19541.2263383465	23011.461127439	25222.0163186412	30219.5563141584	35108.3681289415	19933.9852165405	32208.6441670583	31338.8570732315	29326.5905566369	67863.3692669326	37204.4981092826	27150.8599253533	36604.9022348995	23643.0329313547	17547.7939518571	19120.0886693828	23621.8864448855	21516.0083271938	28540.1923880509	24092.9475294898	38719.9714392868	21695.9409301244	38869.8898604109	17226.4861426428	38072.5989381155	53006.6247112163	28333.3402225925	15896.7169302679	22865.2372098622	32616.2683227985	35652.3248465987	49476.042324274	28061.5832333814	32298.4074994829	27120.8265359174	26399.0949866555	53960.7099397562	25605.6774440371
a68_gac-miR-126b-5p	2853.92517900829	2877.15974725974	3433.92792910296	1454.78739150331	1346.75168803867	2478.63511602613	1071.01830274943	2056.47013693637	1423.87310624872	1488.50018065195	5979.6169337768	3002.27855040554	2885.53253200959	3640.72153177596	3312.95273601335	2765.69674556595	1523.2805277543	2241.85995580116	2215.22317982426	5408.62087396709	5155.45423342621	3528.45147053494	2877.86825331065	2895.8289273551	1360.13824292883	3497.98122834112	4624.42729896617	2363.80697801463	3024.4408042331	2439.97874712236	3727.13303241225	5196.58881258277	3731.90925737786	3065.66081079212	4004.00234353431	3870.31052876723	2030.43990282695	2122.742732471
a179_gac-miR-126b-3p	83089.2864768187	75208.2432291663	121143.162544852	75496.1199136786	70155.1201675806	92396.8032510007	109015.159847042	111758.739435469	62837.1275155577	40231.7379458435	100398.952599412	96469.5194630538	91167.2568410101	114254.855672208	167595.604762559	162757.494079804	89958.17783349	121895.225643419	130860.846384107	200754.992882794	125860.664156337	102638.906782787	60577.2598881174	141192.733750912	91804.3216804107	75387.526472869	200619.549017743	113925.376065781	144004.468625929	50058.9188119297	60876.886244301	72877.4623836909	56758.0555935366	92518.3015541305	84584.6553883327	56987.7141753431	49593.8068951595	64149.1958710124
