Gene	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-205-1-5p	563	2093	1462	103	885	63	149	220	334	80	416	3903	2082	1094	86	3329
miR-204-2b-3p	22	111	150	20	58	32	13	8	3	0	106	99	30	12	8	134
miR-204-1/2b-5p	5698	8757	31658	2290	7398	4792	1255	5413	2713	3150	2214	11403	3015	11978	1216	14046
miR-200b-5p	23	0	0	0	0	15	0	0	0	0	0	30	80	48	0	69
miR-200b-3p	1498	4107	2787	148	916	134	396	289	558	692	1483	2794	6618	1685	252	3948
miR-200a-3p	515	527	1248	49	244	63	24	10	48	81	58	572	1408	624	246	1587
miR-19b-3p	1	549	189	34	0	48	103	17	5	45	16	64	48	194	100	188
miR-19b-2-5p	19	170	0	7	60	0	0	0	0	0	0	3	11	26	0	6
miR-19a-1-3p	0	84	307	17	0	8	5	0	0	0	0	17	29	4	19	80
miR-199-5p	312	784	2251	129	2145	735	94	1318	305	3	213	693	2814	7956	157	2092
miR-199-3p	2194	5436	12711	1151	11544	4504	873	4946	1886	714	2110	6620	15658	38885	834	13752
miR-196d-5p	8	0	3	9	0	2	22	2	1	0	0	11	22	86	0	111
miR-196d-3p	8	0	0	17	18	14	0	0	5	0	8	55	10	132	0	47
miR-196a-5p	196	60	328	30	157	73	21	124	44	0	41	55	109	470	4	236
miR-194a-5p	1	43	117	11	0	18	28	2	0	0	24	122	66	136	49	203
miR-193a-2-5p	203	1	263	40	191	92	0	61	6	34	0	44	113	1819	12	359
miR-191-5p	5328	25999	29744	2148	5170	2000	2676	2380	3198	1877	2311	7577	5033	12055	1286	15870
miR-18c-5p	31	92	379	53	0	14	0	0	1	0	0	50	28	77	25	131
miR-18a/b-5p	0	352	179	0	71	4	1	2	1	0	0	21	4	60	17	29
miR-184-3p	268	1740	453	77	65	26	75	134	114	2	24	385	733	143	14	677
miR-183-5p	7	651	190	57	32	35	26	91	59	10	128	78	21	256	16	419
miR-182b-5p	18	102	0	11	33	19	5	45	0	0	9	25	9	58	0	64
miR-182a-5p_gac-miR-182b-5p	0	9	121	1	0	5	2	0	0	0	0	3	3	16	7	20
miR-182a-5p	0	333	258	11	0	0	0	61	35	0	2	7	5	90	6	119
miR-181b-3-3p	0	40	0	0	15	6	0	0	0	0	0	0	2	25	0	8
miR-181b-2/3-5p_gac-miR-181c-5p	474	1729	3321	249	814	328	207	298	461	32	312	837	813	2333	231	2796
miR-181b-1-5p	105	615	875	14	46	52	109	142	116	0	59	198	160	350	60	346
miR-181a-5p	1252	9553	12339	515	4787	1490	732	1336	1426	389	1926	2935	4027	14028	1119	9875
