Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	142	28	48	69	26	61	10	99	181	32	0	87	75	48	1
a22_gac-miR-181a-2-3p	1545	452	601	2862	835	854	216	5562	2674	826	474	1336	860	2277	2872
a24_gac-miR-181a-1-3p	127	183	167	320	33	220	60	1314	339	71	0	501	120	399	212
a2_gac-miR-17a-5p	297	157	110	265	40	355	64	170	0	68	102	703	219	380	0
a31_gac-miR-17a-1-3p	19	3	20	0	0	0	0	0	191	0	0	7	7	38	0
a115_gac-miR-1788-5p	0	0	3	0	0	0	0	26	0	0	0	24	0	0	0
a150_gac-miR-16c-5p	329043	252911	344638	298756	74262	270599	76157	179884	458349	63681	77685	345634	433016	271277	178808
a149_gac-miR-16a-5p_gac-miR-16c-5p	18140	11689	16406	14786	5845	16368	2997	14983	16488	3484	3811	19944	17967	13731	8108
a151_gac-miR-16a-5p	9883	11120	15422	15286	5295	10353	3911	8657	18213	3484	1381	13992	16799	12818	6874
a152_gac-miR-15c-5p	101428	74835	145003	171269	34562	68038	34409	90140	158910	37086	63535	162149	132000	115245	88489
a147_gac-miR-15b-1-5p	355	329	447	689	193	317	215	356	155	199	122	965	191	686	0
a148_gac-miR-15a-2-5p	70544	58372	65710	60814	8952	41298	12221	25319	36787	13991	14405	75384	75608	52344	16500
a225_gac-miR-155-5p	542	401	562	1331	132	1399	496	1938	1625	230	263	2243	729	1025	1311
a235_gac-miR-153c-3p	7	0	0	0	0	0	6	0	0	3	0	0	1	45	0
a16_gac-miR-152a-5p	956	429	614	1448	274	689	202	931	1246	241	156	1116	625	1299	811
a169_gac-miR-152a-3p	1961	832	1209	3221	197	994	154	664	575	838	389	2255	1541	1597	174
a29_gac-miR-150-5p	9354	924	2164	15122	1005	2432	882	289263	13481	996	5177	7871	2681	16310	4507
a78_gac-miR-150-3p	2	0	1	4	0	0	0	624	68	3	0	7	6	148	0
a170_gac-miR-148a-3p	818	569	711	3544	335	407	231	1409	3438	671	250	1047	1034	2055	189
a183_gac-miR-146a-5p	37344	27416	27329	66170	14462	40222	12521	105725	92886	33805	10778	73128	47580	60768	37964
a53_gac-miR-146a-3p	1469	447	337	1065	237	283	217	2794	1672	551	1107	797	824	1044	324
a121_gac-miR-145-5p	14238	2290	2749	9301	2932	3314	912	9999	7055	1371	1793	5218	5226	5694	1200
a113_gac-miR-145-3p	4783	2209	2534	6724	1755	2318	281	5467	6095	916	140	4043	5355	2065	2874
a48_gac-miR-144-5p	10985	10750	17366	28440	9719	20973	5863	9507	29623	9054	1668	11437	11311	56815	17416
a80_gac-miR-144-3p	1665	941	858	2314	822	1412	505	996	360	1261	503	1160	810	6405	928
a120_gac-miR-143-5p	138	50	33	50	0	33	5	35	0	26	0	60	82	40	0
a55_gac-miR-143-3p	69992	35884	42075	158194	45062	60269	14818	139549	127747	28918	9464	54550	68857	121726	112070
a66_gac-miR-142-5p	931	1039	827	2086	463	1614	456	1524	1182	536	407	3156	880	3078	1230
a218_gac-miR-142-3p	510	329	416	1131	151	628	126	410	67	231	590	1264	677	1268	136
a65_gac-miR-140-5p	347	219	320	555	151	350	167	552	415	112	65	387	342	652	0
a139_gac-miR-140-3p	11026	8845	10971	13167	2893	17789	5224	5552	10188	3662	3460	15812	6759	14454	5828
a180_gac-miR-139-5p	2011	781	1072	1995	502	1172	206	2445	606	324	1180	1863	1747	2174	601
a54_gac-miR-1388-3p	246	523	1495	2499	117	751	553	1964	1689	204	143	2086	1124	1598	1516
a160_gac-miR-135c-5p	0	28	0	93	11	40	52	77	48	34	0	32	18	77	0
a162_gac-miR-135b-5p	18	1	4	26	9	31	1	0	0	7	0	9	20	30	0
a163_gac-miR-135a-2-5p	0	0	1	0	0	0	28	0	0	0	0	0	8	0	0
a161_gac-miR-135a-1-5p	89	5	1	32	0	7	3	17	101	0	0	3	11	0	0
a246_gac-miR-133b-3p	73	6	4	31	34	0	17	19	0	0	0	9	12	137	0
a41_gac-miR-133a-5p	214	1	0	79	54	17	15	0	27	14	0	17	69	171	0
a245_gac-miR-133a-3p_gac-miR-133b-3p	115	0	0	41	64	35	13	0	0	7	0	39	18	286	0
a236_gac-miR-133a-3p	16457	427	387	7266	10130	1712	3647	1041	1122	1494	739	2533	9469	31305	300
a64_gac-miR-130c-3p	53	45	48	23	25	33	7	81	65	21	0	97	74	119	0
a104_gac-miR-130c-2-5p	196	116	136	115	64	270	21	113	259	32	0	223	313	128	129
a30_gac-miR-130b-5p	9418	5902	7467	4696	2823	8382	1481	5452	15224	1628	6717	10406	9500	5849	6785
a62_gac-miR-130b-3p	121	191	92	77	19	258	28	43	57	13	0	191	176	118	0
a70_gac-miR-1306-5p	735	108	218	161	198	163	18	245	874	37	1252	154	210	265	130
a12_gac-miR-129-1b/2-3p	5	0	5	7	0	0	0	14	0	0	0	0	0	0	0
a96_gac-miR-129-1a/2-5p	28	2	6	17	0	0	55	34	0	8	0	11	7	34	0
a117_gac-miR-128-2-5p	0	0	0	8	0	0	0	58	0	0	0	7	14	0	0
a166_gac-miR-128-2-3p	55605	19579	37613	40393	8729	18818	6420	34589	53158	9849	20053	36020	53094	26567	30399
a68_gac-miR-126b-5p	8937	2165	2965	6220	1648	2722	414	3604	4126	2211	2670	5858	3931	4466	1086
a179_gac-miR-126b-3p	150054	69566	93678	195199	83369	160186	24449	195958	243737	82067	65183	170403	82745	217750	73301
a175_gac-miR-125b-2/3-5p	226878	21030	29032	108893	102515	72155	18147	119745	206764	25882	33070	49765	52828	104588	27330
a28_gac-miR-125b-2-3p	273	26	24	112	167	50	7	256	632	36	0	42	133	208	183
a176_gac-miR-125a-5p	97781	35156	47357	95787	86532	89601	16893	136747	229426	30144	43604	100264	51159	119043	65384
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	28	17	33	46	31	40	24	71	105	2	0	43	42	74	0
a129_gac-miR-124-3p	5	2	0	0	0	0	0	0	18	0	0	0	12	0	0
a123_gac-miR-122-5p	39735	5578	1075	287681	7512	9283	2855	31558	88669	5220	4982	6872	32060	31438	75676
a11_gac-miR-122-3p	134	102	18	2435	104	77	15	226	729	36	0	152	127	474	413
a141_gac-miR-10c-5p	19851	2049	2431	8093	2391	4871	1516	7425	20552	6156	3511	10489	4717	8896	8742
a140_gac-miR-10b-5p	98076	13208	30153	97615	35581	53042	6086	32891	103919	10814	14837	37422	65116	28155	25789
a132_gac-miR-10545-5p	27	6	3	53	0	24	0	16	100	0	0	17	4	15	66
a90_gac-miR-10545-3p	10	6	4	36	0	0	0	159	181	3	0	31	3	23	0
a37_gac-miR-103-3p	5482	2540	2682	3486	585	2442	763	3147	1865	843	1389	4496	4090	3347	1818
a172_gac-miR-101b-5p	3522	769	804	2225	486	959	457	1354	1027	241	838	1459	1397	2218	40
a19_gac-miR-101b-3p	278	47	81	290	31	105	10	85	0	63	0	118	73	371	0
a171_gac-miR-101a-5p	9	0	0	22	0	0	0	0	0	0	0	8	0	0	0
a138_gac-miR-101a-3p	33017	9708	14380	21336	2961	11730	2069	6778	9897	8694	7721	19798	14546	15213	6053
a9_gac-miR-100-2-5p	156961	27953	42790	123880	51293	56327	16214	92512	202051	31138	24856	92264	88873	79851	64393
a18_gac-miR-1-3p	51051	1503	2532	40808	83363	11716	8575	5464	8703	11015	868	8213	58496	129289	23584
a194_gac-let-7j-5p	10090	10288	14232	16155	5056	9501	2334	14763	20457	3918	2297	16109	15745	15273	12514
a92_gac-let-7j-3p	214	278	362	430	98	294	150	261	257	66	145	576	288	254	311
a192_gac-let-7i-5p	1673	1700	1658	2569	1165	1001	507	3945	3024	1181	729	3880	2955	3571	2968
a184_gac-let-7h-1-5p	26811	14310	25619	26305	8292	18717	5648	40037	62385	6829	13627	27450	37463	32723	41365
a82_gac-let-7h-1-3p	3390	591	1090	1488	499	884	240	2064	3072	311	2583	1898	1605	1071	201
a191_gac-let-7g-5p	132592	75865	150589	116328	44087	88056	21543	125024	179135	30262	35732	111586	154150	142540	137177
a84_gac-let-7g-1-3p	0	5	9	18	17	0	0	0	0	1	0	10	0	0	0
a186_gac-let-7f-5p	15710	13389	23349	23962	7641	21506	4059	24071	45537	6213	4929	24206	24820	28363	31223
a185_gac-let-7e-5p	163186	194148	274483	196258	53437	231046	40962	183834	338100	56315	58401	298007	343103	205277	355976
a83_gac-let-7e-1-3p	539	160	164	257	92	272	52	147	357	92	192	362	387	167	0
a193_gac-let-7d-5p	59218	16383	23572	46284	20510	37922	8913	50961	131005	13800	39157	34684	35295	84904	59504
a91_gac-let-7c-2/d-3p	136	26	54	78	99	38	0	138	175	22	0	93	89	89	169
a189_gac-let-7c-2-5p	40611	6324	8127	24624	21678	15823	5655	44894	73849	6749	10288	11033	16192	52299	24048
a190_gac-let-7b-5p	172849	31183	45789	140473	79772	68596	23288	306198	500067	39471	182043	63508	77153	246195	252435
a81_gac-let-7b-1-3p	7388	717	1212	4551	2805	2247	590	8431	7219	835	4408	2867	2021	4443	280
a187_gac-let-7a-5p_gac-let-7c-2-5p	3111	1292	2322	2370	1020	1895	379	2496	3500	584	1150	1630	1831	2979	1225
a188_gac-let-7a-5p	927993	506937	894481	982843	329070	768022	185171	1044388	1895945	239359	457081	801342	984027	1181453	1331474
a85_gac-let-7a-5-3p	879	677	984	756	176	928	141	748	976	142	318	1610	1147	498	132
a93_gac-let-7a-4-3p	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0
a158_gac-let-7a-3/7-3p	1368	208	161	944	219	469	156	722	1025	196	180	404	457	754	555
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	24	0	0	7	0	0	0	25	1	0	0	4	0	0	0
a257_REV_gac-let-7f-3p	30	12	3	19	13	0	0	17	0	2	0	30	36	0	0
a266_REV_gac-let-7i-1-3p	2	6	5	0	0	0	0	12	0	0	0	15	11	52	0
a253_REV_gac-miR-103a-5p	4	6	3	16	0	0	8	0	0	0	0	18	1	0	0
a262_REV_gac-miR-10544-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a252_REV_gac-miR-10c-3p	4	0	0	0	0	0	0	0	41	3	0	0	0	82	0
a260_REV_gac-miR-132-3p	49	7	6	92	36	29	36	0	0	14	0	48	56	34	0
a263_REV_gac-miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a258_REV_gac-miR-153c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a250_REV_gac-miR-181b-2/3-5p	112	4	13	37	15	32	12	86	0	26	0	58	46	55	175
a265_REV_gac-miR-183a-3p	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
a268_REV_gac-miR-190a-5p	29	15	11	15	13	10	2	0	0	4	0	21	14	62	0
a261_REV_gac-miR-191-5p	47316	52764	68077	38495	10588	48046	7887	139208	55629	10995	18294	124861	105269	24937	33519
a251_REV_gac-miR-193a-2-3p	18	7	0	10	0	12	0	2	0	4	0	1	0	0	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	110	65	69	65	17	43	7	144	132	26	0	110	108	35	103
a264_REV_gac-miR-459-5p	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
