Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a173_gac-miR-223-3p	41005	26536	88008	41121	74241	42136	10791	18426	21295	39005	42046	32496	16318	48381
a201_gac-miR-222c-5p	93	98	72	134	306	126	158	147	57	65	0	110	302	105
a200_gac-miR-222a-5p	215	112	180	181	284	114	320	182	54	16	0	321	1330	516
a39_gac-miR-222-3p	11533	9460	10742	6730	8245	12339	5843	6293	4218	3430	4455	6702	19355	17788
a25_gac-miR-221a-5p	95	74	61	18	0	27	46	36	7	15	92	27	23	18
a40_gac-miR-221-3p	12117	8789	8401	4635	5859	8101	3125	3935	2516	2704	4986	2890	9827	9014
a77_gac-miR-21a-3p	43	89	206	35	57	9	40	19	32	32	0	15	220	19
a238_gac-miR-218b-5p	1	6	1	0	50	16	0	0	6	0	0	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	24	29	0	5	22	18	0	12	2	0	0	30	0	28
a239_gac-miR-218a-2-5p	588	735	417	632	412	626	929	1000	229	591	0	976	1690	986
a15_gac-miR-2188-5p	13244	29628	11272	10353	36549	16073	4535	5089	10512	41236	30700	28765	15305	58496
a108_gac-miR-2188-3p	18835	67080	31559	55669	108095	57840	46899	56367	51935	166527	27286	69399	40781	147401
a137_gac-miR-2187a-5p	1	1	0	1	0	2	27	0	0	3	0	0	0	0
a5_gac-miR-2184-5p	158	227	112	112	242	141	410	204	117	76	0	145	418	618
a142_gac-miR-217a-5p	158	154	441	126	25	87	52	78	50	35	0	16	52	75
a135_gac-miR-216b-5p	34	36	82	17	0	14	0	0	0	0	0	0	58	24
a58_gac-miR-214a-3p	5841	17914	3447	5621	6276	16968	4033	3310	3767	5642	3008	4392	24688	30618
a27_gac-miR-212b-5p	10	5	15	19	0	13	0	0	0	0	0	10	0	0
a26_gac-miR-212a-5p	12	54	27	67	21	75	37	0	8	41	2	80	24	176
a38_gac-miR-210-5p	4045	3513	4853	4026	3499	4012	1424	1723	1595	2803	1712	2396	4702	5000
a94_gac-miR-210-3p	523	307	798	389	1467	249	266	216	135	482	80	381	1074	530
a52_gac-miR-21-5p	195784	212114	296374	263999	451595	300090	212405	227740	166499	231336	105271	198541	370960	501207
a56_gac-miR-20b-5p	0	0	0	0	0	0	0	0	0	0	0	0	37	0
a126_gac-miR-20a-5p	178	384	503	377	1463	259	183	138	102	399	279	281	250	218
a203_gac-miR-206-1-3p	8246	72617	9943	101256	9786	119642	31322	56500	9443	10888	3563	738	1445	177508
a240_gac-miR-205-1a-3p	491	107	481	79	141	1331	222	401	44	75	123	92	38	66
a178_gac-miR-205-1-5p	31233	16239	26060	3652	4571	117044	5190	14584	5183	12248	10888	19924	3218	8153
a101_gac-miR-204-2b-3p	94	95	60	62	70	105	169	233	108	27	0	12	0	29
a233_gac-miR-204-1/2b-5p	58764	24841	14589	24307	23732	71781	32561	37371	40880	28229	5945	7497	1772	16638
a234_gac-miR-202-5p	67	103	65	30	0	0	8	117	0	220	0	237	0	8
a67_gac-miR-200b-5p	101	29	79	19	0	179	0	36	4	57	0	44	0	48
a133_gac-miR-200b-3p	59446	11414	45406	4794	8728	71177	9047	28174	6433	15103	8167	11193	2905	3860
a128_gac-miR-200a-3p	10690	1046	8349	454	835	5876	1914	3295	746	928	519	1739	173	552
a221_gac-miR-19c-3p	22	0	10	31	0	15	0	0	2	48	0	0	0	0
a220_gac-miR-19b-3p	382	741	507	504	1508	300	228	286	203	1357	734	295	348	226
a157_gac-miR-19b-2-5p	110	107	89	114	244	142	56	166	51	221	186	90	124	46
a106_gac-miR-19a-1-5p	0	0	0	0	0	0	0	0	1	11	0	0	48	0
a222_gac-miR-19a-1-3p	48	238	169	118	385	50	31	35	72	320	156	88	89	117
