Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a178_gac-miR-205-1-5p	33547.9397707159	13736.8791151462	20470.2030280791	3399.02959952199	4014.41844849192	92738.3270803821	6535.23467685113	14989.4235181204	9603.02798427644	13156.1704061829	16658.1486282133	22479.896988014	2670.95040462197	5028.31745651218
a101_gac-miR-204-2b-3p	100.967128948461	80.3623077738093	47.1301681383248	57.7053217881608	61.4765459187124	83.19541662486	212.80436616336	239.477213365473	200.101682867423	29.002008570129	0	13.5393878667019	0	17.8855888922916
a233_gac-miR-204-1/2b-5p	63119.4932502913	21013.4746043073	11459.7003828337	22623.2783339488	20842.3055391841	56874.7638166579	41000.7276132851	38409.883865584	75742.1925520395	30322.1370343026	9095.58170414478	8458.73256972198	1470.76572933193	10261.3940686189
a234_gac-miR-202-5p	71.9659323356055	87.1296600073932	51.0576821498519	27.9219298974971	0	0	10.0735794633543	120.252506282233	0	236.312662423273	0	267.402910367362	0	4.93395555649423
a67_gac-miR-200b-5p	108.485957699943	24.5316518467418	62.0547213821277	17.6838889350815	0	141.828376912857	0	37.000771163764	7.4111734395342	61.2264625369389	0	49.6444221779068	0	29.6037333389654
a133_gac-miR-200b-3p	63852.0419943642	9655.31979926588	35666.5402414796	4461.92439762004	7665.24703969317	56396.1920867397	11391.9591756208	28957.2146324413	11919.0196841309	16222.8642753577	12495.1414260303	12628.8640326662	2411.15939261244	2380.63355600847
a128_gac-miR-200a-3p	11482.3256219048	884.8313045411	6558.1628964479	422.55187244879	733.327369173213	4655.77398178741	2410.10388660753	3386.5983606834	1382.18384647313	996.809776039988	794.046577704144	1962.08295834954	143.590559353512	340.442933398102
a221_gac-miR-19c-3p	23.6306046475122	0	7.85502802305413	28.8526608940804	0	11.8850595178372	0	0	3.7055867197671	51.5591263468959	0	0	0	0
a220_gac-miR-19b-3p	410.313226152258	626.826000635712	398.249920768845	469.088422277952	1324.38044636312	237.701190356743	287.097014705599	293.950570912125	376.117052056361	1457.61946776537	1122.98687482628	332.843285056421	288.841125173539	139.384244470962
a157_gac-miR-19b-2-5p	118.153023237561	90.5133361241852	69.9097494051818	106.103333610489	214.289674345226	112.511896768858	70.5150562434804	170.614667032912	94.4924613540611	237.386810888833	284.57160588241	101.545409000264	102.920400923905	28.3702444498418
