Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a19_gac-miR-101b-3p	170	225	308	55	274	20	35	39	48	109	278	47	81	290	31	105	10	85	0	63
a171_gac-miR-101a-5p	0	0	5	0	34	0	0	0	0	0	9	0	0	22	0	0	0	0	0	0
a138_gac-miR-101a-3p	9037	15614	19973	9961	13771	6059	7531	9396	4147	28600	33017	9708	14380	21336	2961	11730	2069	6778	9897	8694
a9_gac-miR-100-2-5p	68691	172197	62711	118648	52939	171155	78163	102560	43147	72353	156961	27953	42790	123880	51293	56327	16214	92512	202051	31138
a18_gac-miR-1-3p	13716	80653	16642	159224	11798	111944	50679	95401	7615	12990	51051	1503	2532	40808	83363	11716	8575	5464	8703	11015
a194_gac-let-7j-5p	7576	5677	13782	16695	29908	9320	10970	10302	6304	12871	10090	10288	14232	16155	5056	9501	2334	14763	20457	3918
a92_gac-let-7j-3p	158	180	269	173	702	224	155	133	74	307	214	278	362	430	98	294	150	261	257	66
a192_gac-let-7i-5p	1615	1726	2074	2853	1728	2637	3499	2934	924	867	1673	1700	1658	2569	1165	1001	507	3945	3024	1181
a184_gac-let-7h-1-5p	20457	21007	38460	43747	42214	37150	39103	39178	19352	37490	26811	14310	25619	26305	8292	18717	5648	40037	62385	6829
a82_gac-let-7h-1-3p	1839	2336	2793	1005	1970	2053	588	1461	686	2484	3390	591	1090	1488	499	884	240	2064	3072	311
a191_gac-let-7g-5p	58007	67341	96961	141183	175048	110443	110645	122312	64322	174825	132592	75865	150589	116328	44087	88056	21543	125024	179135	30262
a84_gac-let-7g-1-3p	2	23	7	0	0	10	1	0	5	22	0	5	9	18	17	0	0	0	0	1
a186_gac-let-7f-5p	15463	12734	26778	34971	46827	25467	26431	32282	12562	23502	15710	13389	23349	23962	7641	21506	4059	24071	45537	6213
a185_gac-let-7e-5p	115280	109018	223202	273872	352959	193962	251905	269834	115940	246101	163186	194148	274483	196258	53437	231046	40962	183834	338100	56315
a83_gac-let-7e-1-3p	103	106	204	124	434	263	116	251	133	377	539	160	164	257	92	272	52	147	357	92
a193_gac-let-7d-5p	47605	76323	53826	57711	32866	123041	126193	146538	46865	47917	59218	16383	23572	46284	20510	37922	8913	50961	131005	13800
a91_gac-let-7c-2/d-3p	426	560	174	203	80	749	218	175	121	176	136	26	54	78	99	38	0	138	175	22
a189_gac-let-7c-2-5p	34607	67213	28062	48076	25665	101229	68391	84314	35642	32197	40611	6324	8127	24624	21678	15823	5655	44894	73849	6749
a190_gac-let-7b-5p	130398	259961	134944	115851	66552	351488	376309	442284	141933	136681	172849	31183	45789	140473	79772	68596	23288	306198	500067	39471
a81_gac-let-7b-1-3p	6227	11420	5656	2274	1283	7278	2033	4044	1714	3372	7388	717	1212	4551	2805	2247	590	8431	7219	835
a187_gac-let-7a-5p_gac-let-7c-2-5p	1171	1697	1295	2414	1403	1624	1188	1806	1252	2361	3111	1292	2322	2370	1020	1895	379	2496	3500	584
a188_gac-let-7a-5p	582928	757392	929215	1259049	1185924	1239326	1034114	1375708	639553	1275707	927993	506937	894481	982843	329070	768022	185171	1044388	1895945	239359
a85_gac-let-7a-5-3p	462	466	1105	547	1683	699	198	430	296	604	879	677	984	756	176	928	141	748	976	142
a158_gac-let-7a-3/7-3p	485	1074	499	455	752	1219	211	293	257	569	1368	208	161	944	219	469	156	722	1025	196
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	12	0	1	0	0	9	10	0	12	6	24	0	0	7	0	0	0	25	1	0
a257_REV_gac-let-7f-3p	28	38	25	12	18	69	42	0	10	23	30	12	3	19	13	0	0	17	0	2
a253_REV_gac-miR-103a-5p	0	0	7	13	35	0	0	0	0	25	4	6	3	16	0	0	8	0	0	0
a252_REV_gac-miR-10c-3p	0	4	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	41	3
a260_REV_gac-miR-132-3p	30	22	25	30	28	14	11	0	7	58	49	7	6	92	36	29	36	0	0	14
a250_REV_gac-miR-181b-2/3-5p	68	78	42	32	141	26	73	90	26	0	112	4	13	37	15	32	12	86	0	26
a268_REV_gac-miR-190a-5p	38	28	13	22	148	38	19	31	1	31	29	15	11	15	13	10	2	0	0	4
a261_REV_gac-miR-191-5p	38812	28481	71029	58787	44732	49574	24924	40303	35177	54417	47316	52764	68077	38495	10588	48046	7887	139208	55629	10995
a251_REV_gac-miR-193a-2-3p	0	8	0	4	0	12	0	0	0	0	18	7	0	10	0	12	0	2	0	4
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	52	50	42	26	32	70	0	205	7	75	110	65	69	65	17	43	7	144	132	26
a264_REV_gac-miR-459-5p	34	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	31	0	0
a255_REV_gac-miR-460-3p	25	9	31	0	27	0	24	0	5	0	23	2	0	7	0	0	0	0	0	0
a256_REV_gac-miR-730-3p	10	11	0	0	49	0	0	0	0	0	15	1	5	3	0	2	7	23	56	0
a254_REV_gac-miR-7bb-3p	0	0	0	6	66	0	0	0	0	3	3	2	2	1	0	0	0	0	128	4
