Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a17_gac-miR-425-5p	24135	19850	47398	33170	33146	43197	16534	23897	23077	33808	30920	33872	42177	27380	16202	39234	6054	197029	42637	7684
a247_gac-miR-375a-3p	24095	4569	26489	2723	3289	33086	9220	20736	3985	13648	3406	5019	10121	16842	464	3356	60255	100697	7188	3451
a116_gac-miR-365-2b-5p	177	375	159	174	135	612	421	424	136	205	252	61	69	76	121	127	24	347	188	28
a136_gac-miR-365-2b-3p	4269	8874	2000	4072	8578	16584	1958	2956	2480	5140	5337	456	396	3462	3214	1488	391	2072	4757	783
a205_gac-miR-34a-5p	0	28	6	14	0	30	0	0	2	31	0	5	0	17	0	21	0	77	62	3
a174_gac-miR-338-3p	269	215	241	212	213	339	196	160	50	80	615	131	64	420	274	334	52	214	606	167
a3_gac-miR-338-1b-5p	4	21	0	5	0	45	0	0	3	15	3	0	0	0	20	0	0	0	0	0
a4_gac-miR-338-1a-5p	19	34	29	33	50	79	17	25	6	26	29	1	6	20	30	15	0	60	70	9
a122_gac-miR-33-5p	8	8	13	21	0	9	0	0	3	53	0	2	3	11	0	0	0	0	0	7
a43_gac-miR-31a-5p	2083	534	1513	990	2000	1884	922	2017	861	1059	638	248	1366	2256	187	577	170	2800	1322	433
a214_gac-miR-30e-5p	5874	4101	10013	4035	11417	2415	3069	4438	1175	3810	5025	3172	3600	8798	2811	5757	1135	9760	6158	2872
a95_gac-miR-30e-3p	4530	5101	10047	8645	16044	7323	5551	8256	3045	5815	9366	3820	5664	11174	3598	7370	3356	19613	18995	4206
a212_gac-miR-30c-2-5p	18501	18383	31337	24965	93984	30618	20572	21182	13310	22010	20223	22867	23971	42085	7690	23895	11646	45034	57316	8991
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	137	235	314	246	932	305	202	157	125	409	775	281	228	602	150	426	172	628	1043	152
a213_gac-miR-30c-1-5p	5544	6545	10247	5727	2940	7836	3568	6903	1340	1352	12502	2982	3339	12394	4483	8805	2047	32424	35652	4754
a210_gac-miR-30bb-5p	1452	1390	1799	951	3527	1948	844	737	637	958	1571	834	592	1888	427	746	421	3076	2098	515
a89_gac-miR-30bb-3p	101	65	91	113	110	106	58	102	36	95	126	76	66	166	120	128	23	140	109	36
a208_gac-miR-30a-5p	31179	34749	31334	33472	38488	37244	19093	22804	12782	34427	39972	24888	37076	61834	25640	36834	11416	97390	68163	14701
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	0	4	13	2	41	0	0	0	0	0
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	9	9	38	0	0	13	0	68	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	57	0	2
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	47	71	19	194	60	82	67	184	262	13
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	40	9	30	21	0	31	9	85	0	7
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	19	0	5	2	0	4	0	0	0	0	13	1	5	0	0	1	6	13	0	4
a146_gac-miR-29a-3p	461	384	367	260	795	196	145	576	122	608	1516	306	413	580	344	596	107	1118	2021	146
a33_gac-miR-29a-3b-5p	48	44	35	191	352	43	1	27	56	161	110	55	57	146	29	57	50	124	445	15
a228_gac-miR-27e-3p	3544	3923	3711	2993	2295	6252	3523	3505	1689	1865	3991	1345	1240	3751	2047	1515	578	9943	3367	1319
a59_gac-miR-27c-1-5p	1116	996	799	1270	550	906	1138	262	339	481	492	557	880	706	307	838	228	1241	843	230
