Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a15_gac-miR-2188-5p	12154.6855008524	22986.8281407448	8072.07048482397	8351.87335313973	27169.7405376496	11352.3580667276	5049.39474337745	4482.86391405498	17395.9207354343	36234.4489423813	35235.0655878769	28025.9215444904	48569.523926744	15340.1280454222	17539.9402047864	21732.1733883145	23221.12148336	12544.0091484855	9487.50343230831	19094.8074193716
a108_gac-miR-2188-3p	17285.8276509026	52043.8919832983	22599.9354533854	44908.7643867416	80355.4981919405	40852.3854028201	52218.6469833868	49653.2894956842	85945.3142498842	146328.792293819	94678.1384012093	76442.7262495522	118241.119854425	58289.6547232328	88174.6200035427	49557.0221457679	50608.1584487846	76074.5836010112	47446.2073410078	80430.6334516282
a137_gac-miR-2187a-5p	0.917750339840861	0.775848121396815	0	0.806710456209768	0	1.41259977188175	30.0625486375284	0	0	2.63612733599631	0	0	0	6.79643849160296	0	0	0	11.2163477726587	0	0
a5_gac-miR-2184-5p	145.004553694856	176.117523557077	80.2051006299046	90.351571095494	179.897595286087	99.588283917663	456.505368199505	179.702149433526	193.618980788225	66.7818925119066	206.223558569306	137.11448811143	94.2243738878893	287.149526270225	521.008163286239	168.221458485264	164.813154593464	131.644502805416	102.652744945401	284.718467998452
a142_gac-miR-217a-5p	145.004553694856	119.480610695109	315.807583730249	101.645517482431	18.5844623229429	61.4480900768559	57.8982418204251	68.7096453716424	82.743154183002	30.754818919957	56.2427887007198	13.9912742970847	0	60.6015765501264	22.0426530621101	16.3123838531165	24.5466400458351	21.8423614520196	0	18.6700634753083
a135_gac-miR-216b-5p	31.2035115545893	27.9305323702853	58.7215915326087	13.7140777555661	0	9.88819840317222	0	0	0	0	16.6645299853985	0	1.04693748764321	1.69910962290074	62.1202040841285	0	14.0266514547629	5.31300683968045	0	0
a58_gac-miR-214a-3p	5360.57973501047	13898.5432467025	2468.4551952793	4534.51947435511	4665.44342155159	11984.4964646447	4490.45402426489	2915.7554638479	6233.86923614737	4957.67680989707	10173.6955560858	1546.03580982786	1369.39423383732	4082.96042383048	10029.4071432601	3592.80254364891	6276.9265260064	4950.54170639558	5387.36813287532	3734.01269506166
a27_gac-miR-212b-5p	9.17750339840861	3.87924060698407	10.7417545486479	15.3274986679856	0	9.18189851723134	0	0	0	0	2.77742166423308	0	1.04693748764321	2.26547949720099	0	0	259.493051913114	12.3970159592544	0	0
a26_gac-miR-212a-5p	11.0130040780903	41.895798555428	19.3351581875663	54.0496005660545	15.610948351272	52.9724914455654	41.1968259106871	0	13.2389046692803	36.0270735919496	20.1363070656898	23.7851663050441	26.1734371910804	74.1944535333324	142.275306128165	96.8547791278792	14.0266514547629	13.57768414585	45.6234421979562	25.6713372785489
a38_gac-miR-210-5p	3712.30012465628	2725.55445046701	3475.31565497256	3247.81629670053	2601.08134671909	2833.67514239478	1585.52108369779	1517.77844840179	2639.50661843776	2463.02164093256	2336.50597503608	3079.47947278835	2778.57209220509	2113.69237088852	4745.18204100698	1975.83749420874	2023.34447234955	3413.31172744804	2815.07501085722	2368.76430342974
