Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-551a-3p	1225.92314335453	387.833167857352	39.1162756516238	354.967559085957	274.343486350567	149.88150880937	0	49.5328275757866	101.072954923986	1000.4291525981	98.0768955026996	95.9907877255802	128.526206616715	399.603482052458	0	255.323019166416	54.9513390992927	46.7775113472161	42.1639386913242
miR-499a-5p	76.8686943941216	266.635302901929	52.155034202165	148.404516228027	79.8462385647172	49.3927699485423	5407.55580924809	1242.82367371974	337.872449317325	256.90368184924	30.8241671579913	179.502773046835	122.488062681702	591.449180798904	16.2924918224419	63.8307547916039	458.51870044141	227.008510949725	65.6972998213657
miR-489-3p	77.5313555526916	63.9043287946772	33.5282362728204	179.489245978492	34.8047706564152	0	49.6510939433104	0	37.5413832574805	96.5087905359578	78.4615164021597	101.750234989115	33.6410876379322	60.3458301221217	16.2924918224419	36.3174984159126	57.9057121691472	14.4459961513461	217.683590452883
miR-460-5p	121.266992018312	39.6647558035928	0	162.442781276624	77.7988991143398	55.3539663216422	0	138.466767995949	31.7657858332527	53.0118708577796	81.2637134165225	53.7548411263249	31.9159036564997	100.576383536869	6.51699672897678	18.7090143354701	51.9969660294383	15.8218053086172	0
miR-458-3p	41.0849918313408	0	0	0	20.4733945037736	70.6827569953278	18.2054011125471	49.5328275757866	25.990188409025	18.3502629892314	5.60439402872569	20.1580654223718	0.862591990716209	15.3116285384488	3.25849836448839	19.4427011721552	82.7224459559245	4.81533205044872	86.2889908101519
miR-456-3p	198.798347571004	288.67127834837	167.641181364102	77.2104577672845	85.9882569158492	14.4771911918141	70.0632103422269	193.628325978075	268.565280226591	214.766040911005	383.90099096771	36.4764993357205	69.8699512480129	96.9736474101756	130.339934579536	115.188833359561	36.0433514522243	147.211579828004	37.2611551225656
miR-455-5p	53.6755538441711	55.0899386161011	46.5669948233616	0	63.4675229616983	19.5867880830426	18.7570799341395	129.460799345806	75.082766514961	68.6435763671249	11.2087880574514	118.068668902464	135.426942542445	114.987328043645	97.7549509346517	84.3739862187867	191.443374926568	24.0766602522436	19.6111342750345
miR-455-3p	218.678182328104	118.994267410778	0	176.481046325222	186.30788998434	119.223927461999	0	50.6585736570545	54.8681755301638	142.044628324051	78.4615164021597	106.549774375394	291.556092862079	230.875340118963	45.6189771028375	80.3387086170187	315.527043860455	65.3509349703754	70.6000833901243
miR-454b-3p	3.97596695142008	17.6287803571523	11.1760787576068	0	0	0	111.439121961652	0	14.4389935605694	8.83531180962994	0	20.1580654223718	1.72518398143242	0	3.25849836448839	5.13580785679571	81.5406967279828	21.3250419377015	59.8139595388553
miR-451-5p	106430.671339088	96566.0516013913	123098.91947566	32329.1216737015	71030.3948913922	7857.70841922758	18224.1581924813	23246.6565781817	218753.640241339	41921.5156185841	21885.1586821738	30013.4395981572	27744.4087893962	85676.3676008955	139079.227193093	48362.0683703535	11203.573555502	11924.8258706469	3594.23063425695
