Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a146_gac-miR-29a-3p	424.928889641629	283.753857406944	254.165430965169	209.750908393515	608.370902813772	130.02686524129	157.73095320411	515.070834269416	198.041062333788	549.711179447589	487.275472703165	370.626369641622	354.815489295773	345.14616876127	246.886903981217	238.086531435874	457.289349646367	112.570526506625	118.027214999371
a33_gac-miR-29a-3b-5p	44.2442227826425	32.513462827879	24.2392100375502	154.086244242929	269.366739359054	28.5263020682423	1.08779967726972	24.1439453563789	90.9040941860009	145.564966926089	60.1265364775114	66.1387124276294	86.4783271401884	61.2146035161498	26.1849746646746	67.6382191579186	40.9321935347797	84.6118336487704	37.2717521050644
a228_gac-miR-27e-3p	3266.6984487851	2898.87078804021	2570.04881283854	2414.55564931458	1756.24053076429	4147.59164024769	3832.31826302123	3134.24179533733	2741.73241214563	1686.20287774631	1024.65639247092	1642.23670858038	2042.41460863445	2728.60839077306	1602.89452054472	1969.62494187859	3134.51063303055	1425.15758067538	2422.66388682919
a59_gac-miR-27c-1-5p	1028.67817969644	735.986567649262	553.34653771436	1024.55251407602	420.885530248521	601.042550554128	1237.91603273294	234.285691976714	550.294427304541	434.886640319557	586.233730655736	373.122170110589	371.348110660809	493.62414324725	759.364265275562	716.965123073937	809.05038783588	475.297778583528	588.583085325809
a231_gac-miR-27c-1-3p	7006.2570285597	5734.19253509866	8924.18458696777	5728.62000193212	6976.75159868322	4125.69936191625	6769.37739164948	3514.28537965071	5033.8142155498	3752.14045182154	8311.24103183933	4138.03717754753	4929.26464699074	6103.2262143974	8680.31910133962	4693.19056663745	7939.5664146993	3478.64999557727	6552.06342213611
a36_gac-miR-27b-5p	592.688234359148	682.043777048462	380.901872018646	414.661411208719	191.311604658419	344.305831939947	908.312730520218	208.353306223566	430.171159987326	315.541450044751	259.295688559268	313.222958855377	300.130664780654	433.711978103785	407.737462635647	364.344540530655	409.321935347797	328.882518617395	475.214839339571
a230_gac-miR-27b-3p	12286.9893685963	12991.3452267487	8320.97453146188	6374.81414663676	4772.0766665996	6249.2503600661	10034.9520228132	6521.54790681746	6222.06058955253	4955.53778709249	5287.37730149116	6384.25759961797	6637.21160800946	7040.98184272991	8635.43057334303	6152.37241460428	6881.72503803484	4714.71852192453	6316.00899213737
a42_gac-miR-27a-5p	168.681099358824	79.8057723957031	204.994462031853	161.346852610396	67.3416848397634	171.821214783134	159.906552558649	202.093764834875	118.499979921037	59.6725951374028	92.6950770694967	133.525325089742	124.630530290272	80.7511791064103	432.05208196713	168.644626433744	110.00527012472	193.503584779362	107.15628730206
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	107.845293032691	55.4206752747938	120.503501329535	87.934034672666	8.41771060497043	87.569113325767	13.0535961272367	51.8647715062954	84.4109446012865	72.330418348367	48.852810887978	32.4454060965729	62.3152651451358	52.0975349073615	99.1288326591251	122.650637406359	81.8643870695594	18.3938768801675	110.262266644149
a229_gac-miR-27a-3p	730.951430554906	203.948085011241	810.282164112392	207.330705604359	350.482859734223	325.067163103226	375.290888658054	208.353306223566	199.664349729966	157.318659907698	295.622137681098	274.538051586386	90.2935474551967	170.619426821609	405.867107302456	195.699914096911	189.950960622337	181.731503576055	259.349275064406
a74_gac-miR-26b-3p	299.570258424142	283.014915069947	292.255618167034	187.969083291112	790.499550448587	411.309471681633	256.720723835655	254.852756539555	378.225963309611	1300.1392698119	288.106320621409	326.949861434697	473.087319061031	242.253537319231	259.979391313555	156.920668446371	198.90487795807	598.904631218253	107.15628730206
a73_gac-miR-26a-1b-3p	199.099002521891	110.10240821259	159.286237389616	158.92664982124	333.647438524282	118.749024888729	83.7605751497687	194.9400032478	258.102695992395	286.609282705404	320.674861213394	175.953933062184	268.337162155585	141.96578262256	183.294822652722	287.687892151681	253.267947496449	228.819828389283	172.381853485923
a226_gac-miR-26-5p	92835.4404536796	109760.277910561	100128.021371971	134232.514029219	224845.467969365	106891.370861572	113779.495043704	87861.6055922596	116121.863885635	283149.176317664	194540.661409165	153540.396950625	192078.538499199	125357.088494093	101982.994897575	172392.685618015	170512.645651985	157202.900878814	110108.520666715
a197_gac-miR-24-6-5p	135.497932271843	65.026925655758	97.6493890084165	90.354237461822	11.4786962795051	93.5397346888875	81.5849757952292	196.728443644569	56.8150588662506	0.904130229354588	41.3369938282891	122.29422297939	54.6848245151191	76.8438639883582	127.184162656991	72.1474337684465	56.2817661103221	33.1089783843015	49.6956694734192
a196_gac-miR-24-4a-5p	4.60877320652526	0	0	0	40.5580601875848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a206_gac-miR-24-3p	5140.62563455827	3968.12034967524	4627.61147059744	2900.20967567187	2458.73674307	3046.3436999388	3465.72977178134	2072.80241985505	3311.50628820432	1605.73528733375	3107.79035418137	1975.4260711875	2116.17553472461	3205.30083517542	3346.06569107877	1756.79001226167	3981.93495230529	2252.88204028291	2812.46429426132
a198_gac-miR-24-3-5p	18.435092826101	5.911538695978	29.0870520450602	12.1010139457797	0	7.96082848416063	17.4047948363156	0	3.24657479235717	0	16.2842702959927	0	0	22.1414523356286	20.5739086651014	5.41105753263349	15.9891380995233	26.4871827074412	0
a199_gac-miR-24-2-5p	752.151787304922	455.927421927304	378.824225443999	450.157718783006	202.02505451929	479.639916170678	372.027489626245	363.947620742452	446.404033949111	351.706659218935	422.138391519194	325.701961200213	451.467737275984	767.136201510898	753.753199275989	511.344936833865	723.988173146416	389.950189859551	670.891537891159
a119_gac-miR-23b-2-5p	718.046865576635	503.958673832125	215.382694905089	305.752285696701	85.7075988869716	197.693907356656	504.739050253151	262.900738325015	400.951986856111	193.483869081882	82.6739876565781	321.958260496762	315.391546040687	188.853564039185	319.830761975668	153.313296757949	127.273539272206	187.617544177708	139.769070393992
a50_gac-miR-23b-2-3p	12397.5999255529	12634.436077979	7681.05938647055	5535.00377879965	3232.40087230864	5872.43781181583	6579.01244812728	3758.40749380965	5623.06754036263	2795.57066916438	2526.56716823209	5721.62257510719	3484.56788770759	5377.76804081239	5539.99249691186	3573.10165738231	3614.82434154023	2530.26170363584	4002.05438228129
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	74.6621259457092	42.8586555458405	117.733305896672	28.2356992068194	51.2715100484562	23.8824854524819	13.0535961272367	40.2399089272982	69.8013580356792	52.4395533025661	42.5896300049039	38.6849072689908	41.9674234650914	18.2341372175765	99.1288326591251	61.3253187031796	55.0026350623602	31.6374682338881	27.9538140787983
a51_gac-miR-23a-3p	88101.3086159369	75407.5876058954	115183.341000722	69919.6585787153	52515.035478736	80462.7470989063	65922.8360418997	45863.6597549377	72323.9466493408	52917.8381938947	55282.5923825419	75667.678618146	49585.146694058	76157.4789659537	95397.473769409	52859.7191933745	71177.886729362	50759.006883435	70609.7813733735
