Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a95_gac-miR-30e-3p	4530	5101	10047	8645	16044	7323	5551	8256	3045	5815	4874	5934	5932	3125	3148	10817	7555	8704	5648
a212_gac-miR-30c-2-5p	18501	18383	31337	24965	93984	30618	20572	21182	13310	22010	26815	12507	16753	15620	8688	33973	24590	39949	17221
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	137	235	314	246	932	305	202	157	125	409	465	486	273	454	139	522	501	515	282
a213_gac-miR-30c-1-5p	5544	6545	10247	5727	2940	7836	3568	6903	1340	1352	3709	6120	5756	3423	1748	8546	4646	4034	6913
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a210_gac-miR-30bb-5p	1452	1390	1799	951	3527	1948	844	737	637	958	862	924	649	558	297	1545	1581	1293	373
a89_gac-miR-30bb-3p	101	65	91	113	110	106	58	102	36	95	65	46	50	81	29	91	127	50	26
a208_gac-miR-30a-5p	31179	34749	31334	33472	38488	37244	19093	22804	12782	34427	34363	26155	27254	27013	15492	70536	62207	45303	25278
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	14	0	0	4	0	3	8	76	1
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	2	0	13	6	33	6	50	21	21
a63_gac-miR-301a-3p	0	0	0	0	0	0	0	0	4	9	0	0	6	0	0	0	5	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	2	0	0	3	1	0	0	1
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	54	49	52	17	19	31	21	22	22
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	19	0	5	2	0	4	0	0	0	0	1	7	0	7	4	0	5	0	0
