Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a123_gac-miR-122-5p	616404	483946	466665	166239	6436	149433	175020	176633	198393	88943	3486	617165	235841	287013	94073	215550	87567	92594	283633
a11_gac-miR-122-3p	2836	2132	2391	602	0	705	418	280	682	188	61	1637	500	1065	232	1146	415	112	881
a141_gac-miR-10c-5p	3632	8566	9152	6998	1732	5928	4280	6487	1277	1771	4608	7631	10061	2587	3404	17351	10284	7460	7037
a140_gac-miR-10b-5p	31801	59112	37972	57380	27124	94933	55242	66993	28735	34197	10033	35508	17734	28762	22659	48637	66923	32211	16552
a132_gac-miR-10545-5p	19	12	0	15	38	22	17	0	6	0	0	8	43	19	3	23	14	23	2
a90_gac-miR-10545-3p	142	43	26	20	0	54	117	23	25	49	5	35	27	14	19	17	22	35	16
a37_gac-miR-103-3p	2239	3402	4296	2970	5958	2238	1807	1994	1211	3993	2845	2274	3082	1432	1229	2970	5445	4616	1077
a172_gac-miR-101b-5p	707	1076	894	796	2000	661	371	347	417	2216	1240	2010	2176	1477	722	1728	2591	2043	749
a19_gac-miR-101b-3p	170	225	308	55	274	20	35	39	48	109	84	35	10	37	39	46	48	79	43
a171_gac-miR-101a-5p	0	0	5	0	34	0	0	0	0	0	0	0	0	0	0	0	6	0	0
a138_gac-miR-101a-3p	9037	15614	19973	9961	13771	6059	7531	9396	4147	28600	8739	5663	5132	4791	4277	7629	12498	16406	2817
a9_gac-miR-100-2-5p	68691	172197	62711	118648	52939	171155	78163	102560	43147	72353	44415	86760	72395	134722	59105	165279	265075	86381	64755
a18_gac-miR-1-3p	13716	80653	16642	159224	11798	111944	50679	95401	7615	12990	4454	12870	10770	160941	2472	116461	130999	46318	31981
a194_gac-let-7j-5p	7576	5677	13782	16695	29908	9320	10970	10302	6304	12871	8559	6186	7735	7645	4360	10035	11017	13881	7786
a92_gac-let-7j-3p	158	180	269	173	702	224	155	133	74	307	234	77	153	86	115	261	319	348	128
a192_gac-let-7i-5p	1615	1726	2074	2853	1728	2637	3499	2934	924	867	1549	1717	1804	2705	993	3877	4149	1497	2151
a184_gac-let-7h-1-5p	20457	21007	38460	43747	42214	37150	39103	39178	19352	37490	17700	28446	26825	22200	19775	31547	40803	51106	21372
a82_gac-let-7h-1-3p	1839	2336	2793	1005	1970	2053	588	1461	686	2484	647	746	1190	671	481	780	1037	3367	536
a191_gac-let-7g-5p	58007	67341	96961	141183	175048	110443	110645	122312	64322	174825	104094	101917	132083	136896	52644	122840	186830	193838	77638
a84_gac-let-7g-1-3p	2	23	7	0	0	10	1	0	5	22	16	10	13	0	0	8	23	0	0
a186_gac-let-7f-5p	15463	12734	26778	34971	46827	25467	26431	32282	12562	23502	13164	13236	13490	17717	11845	27029	24674	28558	16538
a185_gac-let-7e-5p	115280	109018	223202	273872	352959	193962	251905	269834	115940	246101	135579	106073	119277	155175	107633	215288	252512	306157	171348
a83_gac-let-7e-1-3p	103	106	204	124	434	263	116	251	133	377	162	93	86	41	62	100	144	477	50
a193_gac-let-7d-5p	47605	76323	53826	57711	32866	123041	126193	146538	46865	47917	16271	59547	53887	50483	39787	43800	78371	64411	39780
a91_gac-let-7c-2/d-3p	426	560	174	203	80	749	218	175	121	176	22	43	96	95	57	134	178	204	33
a189_gac-let-7c-2-5p	34607	67213	28062	48076	25665	101229	68391	84314	35642	32197	9108	48106	42759	63182	40841	39856	85507	36991	27889
a190_gac-let-7b-5p	130398	259961	134944	115851	66552	351488	376309	442284	141933	136681	49355	371754	258049	163782	178414	132984	218227	304515	124872
a81_gac-let-7b-1-3p	6227	11420	5656	2274	1283	7278	2033	4044	1714	3372	1248	3018	3144	2445	1355	2917	3394	6114	1638
a187_gac-let-7a-5p_gac-let-7c-2-5p	1171	1697	1295	2414	1403	1624	1188	1806	1252	2361	1929	4017	2413	3313	2055	3717	7397	4069	2406
a188_gac-let-7a-5p	582928	757392	929215	1259049	1185924	1239326	1034114	1375708	639553	1275707	578961	1110439	1031757	1067004	746327	1150805	1548913	1962339	826059
a85_gac-let-7a-5-3p	462	466	1105	547	1683	699	198	430	296	604	586	261	374	360	303	492	730	1238	320
a93_gac-let-7a-4-3p	12	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	4	0	6
a158_gac-let-7a-3/7-3p	485	1074	499	455	752	1219	211	293	257	569	227	365	384	185	129	317	512	1098	160
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	12	0	1	0	0	9	10	0	12	6	0	6	0	0	2	0	28	8	2
a257_REV_gac-let-7f-3p	28	38	25	12	18	69	42	0	10	23	9	3	0	14	13	7	3	65	1
a266_REV_gac-let-7i-1-3p	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
a253_REV_gac-miR-103a-5p	0	0	7	13	35	0	0	0	0	25	8	5	0	4	1	6	15	7	2
a262_REV_gac-miR-10544-5p	7	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a252_REV_gac-miR-10c-3p	0	4	0	0	0	0	0	0	4	0	4	0	8	0	0	3	0	0	2
a260_REV_gac-miR-132-3p	30	22	25	30	28	14	11	0	7	58	19	70	43	13	19	83	109	38	26
a263_REV_gac-miR-135b-3p	0	18	0	1	0	0	0	0	0	6	4	0	0	0	0	2	0	0	0
a258_REV_gac-miR-153c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a250_REV_gac-miR-181b-2/3-5p	68	78	42	32	141	26	73	90	26	0	20	38	64	52	16	55	59	32	24
a265_REV_gac-miR-183a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a268_REV_gac-miR-190a-5p	38	28	13	22	148	38	19	31	1	31	35	2	15	3	0	20	10	12	3
a261_REV_gac-miR-191-5p	38812	28481	71029	58787	44732	49574	24924	40303	35177	54417	37528	24636	41492	24295	38289	32276	65703	87779	38833
a251_REV_gac-miR-193a-2-3p	0	8	0	4	0	12	0	0	0	0	11	0	0	0	0	2	22	0	0
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	52	50	42	26	32	70	0	205	7	75	57	26	63	45	21	49	75	44	14
a264_REV_gac-miR-459-5p	34	0	0	0	0	0	0	0	6	0	7	0	0	4	0	0	0	0	0
a255_REV_gac-miR-460-3p	25	9	31	0	27	0	24	0	5	0	0	0	0	7	11	0	0	0	5
a249_REV_gac-miR-728a-5p	0	0	18	9	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
a256_REV_gac-miR-730-3p	10	11	0	0	49	0	0	0	0	0	4	21	19	0	11	21	0	0	0
a254_REV_gac-miR-7bb-3p	0	0	0	6	66	0	0	0	0	3	2	5	0	0	3	0	0	0	3
a259_REV_gac-miR-9-7-3p	0	0	0	3	0	0	0	0	0	5	1	0	0	1	0	0	10	0	0
