Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-365-2b-5p	15.9089818951552	16.3223371601958	48.6818569010641	6.06394745166014	93.8215347821305	131.119900279823	1.62772326441737	42.666923811665	46.2366917018395	67.5940358053018	9.07956453691468	137.995348577614	21.2867990814925
miR-365-2b-3p	547.386821503674	263.790029588971	273.747253298737	186.466384138549	1503.14075938179	797.293587185374	412.627847529804	717.718611260508	419.356041016684	314.845903619432	331.404105597386	1274.64124607217	1280.61383274259
miR-34a-5p	50.6730534438277	71.081145697627	0	154.630660017334	0	5.28709275321866	0	3.04763741511893	21.5054380008556	0	4.53978226845734	4.84194205535488	0
miR-338-3p	120.790418092845	152.692831498606	63.4980742187792	48.5115796132811	197.624083902785	181.875990710722	127.776276256764	155.429508171065	38.70978840154	313.067113203503	130.518740218148	110.154181759323	46.8309579792836
miR-338-1a-5p	9.42754482675865	10.5305401033522	0	21.2238160808105	0	16.9186968102997	0	25.9049180285109	3.22581570012834	90.7183112123788	40.858040416116	33.8935943874841	0
miR-33-5p	17.0874249985001	1.57958101550282	0	7.07460536027017	0	0	0	4.5714561226784	0	0	0	16.9467971937421	0
miR-31a-5p	947.468255089244	140.056183374584	3.52767078993218	74.7886852371418	3.99240573540981	176.588897957503	0	271.239729945585	288.172869211465	197.445736168119	401.770730758474	163.415544368227	395.082990952501
miR-30e-5p	5893.98318137917	1835.47314001428	934.832759332028	1611.99936423299	546.959585751144	1138.8397790433	741.427946942113	1286.10298918019	796.776477931699	1323.42006945117	556.123327886024	1197.17017318649	1329.14773464839
miR-30e-3p	2781.71494544547	3232.87581172911	6768.18917756388	6189.77436128209	2878.52453523047	1188.53845092355	4709.00340395946	1974.86904499707	2509.68461469984	1707.63879929184	2451.48242496696	1992.45915577853	5732.10925666431
miR-30c-2-5p	5555.18078916753	11342.9712723258	10523.7475005257	7824.0081995045	7727.30130088568	2464.84264155054	6492.17424012869	3364.5917062913	7182.81629228576	3148.45903619432	10031.7838677236	4610.73932221168	6116.97458405769
miR-30c-1-5p_gac-miR-30c-2-5p	115.487424127793	112.676779105868	243.40928450532	22.7398029437255	133.745592136229	12.6890226077248	85.4554713819121	67.0480231326165	129.032628005133	0	121.439175681234	65.3662177472908	70.6721729505552
