		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-29b-1a/2a-3p	miR-29b-1a/2a-3p	20	0	0	147	156	7	278	0	32	178	209	7	30	49	5	0	25	54	78	97	19	11	46	24	41	48	5	0	0
miR-29a-3p_gac-miR-29b-1a/2a-3p	miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	18	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	4	6	0	0	5	0	0	0	0
miR-29a-3p	miR-29a-3p	149	25	87	0	0	0	0	0	1	799	658	10	10	70	193	45	79	266	0	0	0	0	0	0	0	0	80	76	118
miR-27e-3p	miR-27e-3p	633	721	4488	1028	2782	1858	1196	224	533	1485	2125	70	35	149	2872	1488	2301	5321	1013	591	876	1202	963	1745	878	2249	409	5	68
miR-27c-1-5p	miR-27c-1-5p	369	301	933	0	0	0	0	0	69	386	849	28	46	30	544	378	531	743	0	0	0	0	0	0	0	0	110	127	14
miR-27c-1-3p	miR-27c-1-3p	5459	2331	5015	3206	3792	912	6126	871	414	5824	6436	226	331	199	5233	2529	4877	6460	1254	1496	1607	1800	706	1692	1186	2300	924	214	637
miR-27b-5p	miR-27b-5p	58	69	294	249	348	587	9	8	18	182	70	4	2	0	239	105	60	334	284	69	119	129	0	162	97	80	44	0	93
miR-27b-3p	miR-27b-3p	1586	1586	6628	9796	9896	6788	4427	934	879	2532	6669	340	410	1038	6806	2738	5756	7893	4457	3772	2392	3962	2525	3911	2019	4844	853	81	973
miR-27a-5p	miR-27a-5p	52	74	64	35	43	44	42	0	10	3	188	9	3	0	39	39	56	111	17	0	25	64	0	28	41	51	57	0	7
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	23	12	77	51	43	0	0	10	48	24	188	4	0	30	53	48	29	63	38	0	22	26	0	5	19	64	8	4	6
miR-27a-3p	miR-27a-3p	85	62	136	703	249	4	152	0	21	130	497	13	6	9	96	74	91	352	164	25	120	117	48	59	110	246	0	7	187
miR-26b-3p	miR-26b-3p	52	19	51	166	121	285	58	65	91	22	16	9	70	0	140	126	187	319	15	27	58	71	73	19	41	30	0	87	62
miR-26-5p	miR-26-5p	61036	25088	77661	159794	191704	74712	138603	23779	7709	54920	46899	3038	6763	4688	96437	41988	94771	145547	60751	76358	44026	49775	30509	55321	40906	59782	9818	3772	7628
miR-24-6-5p	miR-24-6-5p	20	5	10	8	15	0	72	0	0	0	0	0	0	0	0	13	23	37	13	0	3	21	0	0	6	0	0	0	0
miR-24-4a-5p	miR-24-4a-5p	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-24-3p	miR-24-3p	2075	1195	3209	3732	2286	1106	3218	373	160	2151	2260	107	153	109	2033	920	1781	2351	1949	679	1206	1373	1835	1107	956	1181	229	209	414
miR-24-2-5p	miR-24-2-5p	497	456	741	181	91	16	318	21	69	226	527	10	25	8	390	212	454	665	115	76	141	134	27	110	162	77	120	7	127
miR-23b-2-5p	miR-23b-2-5p	29	148	302	110	46	273	9	70	115	422	1009	22	8	117	224	75	81	231	253	0	78	142	254	83	170	126	19	13	4
miR-23b-2-3p	miR-23b-2-3p	1598	932	3876	6422	4576	3373	2192	1133	447	2286	2854	75	80	397	3741	1663	3029	6523	2765	1686	1415	3290	1553	1856	2127	2502	213	36	533
miR-23a-3p_gac-miR-23b-2-3p	miR-23a-3p_gac-miR-23b-2-3p	139	24	181	37	20	0	4	2	25	53	0	13	9	26	156	33	90	162	12	35	5	33	7	16	16	11	15	0	92
miR-23a-3p	miR-23a-3p	37845	25423	46908	30418	19983	16299	42196	11382	4685	19150	14582	1281	1607	2104	39956	26539	38775	64487	19271	8034	14635	21832	9413	13944	19342	22077	3824	1748	2225
miR-23a-3-5p	miR-23a-3-5p	39	88	196	115	105	54	3	2	0	0	11	10	0	0	72	70	47	168	172	71	68	90	83	81	32	60	0	0	0
miR-23a-2-5p	miR-23a-2-5p	134	187	253	40	60	0	90	0	0	0	0	0	0	0	109	58	118	209	75	163	38	13	2	19	27	16	0	0	0
miR-23a-1-5p	miR-23a-1-5p	84	53	360	7	20	31	60	0	0	0	0	0	0	0	197	99	175	230	0	68	6	14	0	20	29	170	0	0	0
miR-22b-5p	miR-22b-5p	747	725	3857	1259	766	1286	1231	680	550	1757	2133	270	194	290	9248	3205	4438	6747	781	649	362	615	492	799	1027	1400	579	107	233
miR-22b-3p	miR-22b-3p	100	10	144	71	86	100	23	3	2	263	142	9	8	2	345	143	194	356	22	28	33	0	49	27	29	0	0	0	3
miR-22a-5p	miR-22a-5p	325	348	2192	2606	9475	2871	2566	699	168	1300	956	88	81	301	2557	1261	3655	3806	370	1751	638	1419	327	2218	1037	879	206	186	380
miR-22a-3p	miR-22a-3p	41620	21485	180264	59251	226601	235182	324588	44677	11536	96059	125230	15346	6936	23262	124877	75817	113073	149599	41186	239042	23298	36351	70853	72252	57044	98918	10883	8038	15293
miR-223-3p	miR-223-3p	29905	15453	21017	29175	41299	96756	110392	10638	5142	19438	11689	1407	3864	2140	18594	10748	22578	31659	19393	96892	32766	44183	15879	113078	53947	28156	5894	993	2854
miR-222c-5p	miR-222c-5p	26	0	41	23	40	0	0	41	13	506	107	30	0	73	97	2	64	93	0	91	13	0	0	8	0	11	0	0	0
miR-222a-5p	miR-222a-5p	103	0	35	30	212	57	151	56	30	289	0	0	0	0	62	13	98	58	0	89	6	61	0	23	0	184	0	0	0
miR-222-3p	miR-222-3p	3431	1373	4151	2721	13965	1084	5490	447	461	2774	1451	194	80	215	2638	2015	3452	6368	830	2892	768	1729	568	1503	1512	1269	369	85	208
miR-221a-5p	miR-221a-5p	0	29	40	42	148	54	84	0	0	93	7	2	0	19	43	26	11	107	7	0	4	11	43	15	35	19	46	0	0
miR-221-3p	miR-221-3p	2067	658	2817	3842	16465	2861	7387	847	484	3582	1141	135	78	173	2191	1165	2379	2963	966	2997	1024	1932	755	2130	1114	2424	230	80	66
miR-21a-3p	miR-21a-3p	3	0	18	0	0	0	0	0	35	504	144	16	19	102	0	6	2	0	0	0	0	0	0	0	0	0	0	0	5
miR-218b-5p	miR-218b-5p	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0
miR-218a-2-5p_gac-miR-218b-5p	miR-218a-2-5p_gac-miR-218b-5p	0	0	35	28	3	0	0	0	0	0	214	8	0	0	24	4	2	10	0	3	3	9	0	9	0	19	0	0	0
miR-218a-2-5p	miR-218a-2-5p	195	240	1026	894	332	155	301	128	10	513	461	35	26	24	687	563	1151	1464	203	436	198	329	186	174	181	231	19	1	0
miR-2188-5p	miR-2188-5p	58582	16308	51136	32343	26860	11065	18140	7369	1010	3782	4218	448	597	2357	76694	23710	41902	92059	10917	17213	12346	11103	2553	13265	6728	30988	1242	335	1480
miR-2188-3p	miR-2188-3p	7747	4585	19847	40759	28847	13562	24642	13204	1956	15926	20743	5623	2591	2496	24030	6678	14646	21202	15098	26166	12691	11637	9868	8470	6737	28221	3305	2258	2722
miR-217a-5p	miR-217a-5p	33	7	43	0	373	0	0	37	0	82	196	0	28	3	96	26	73	168	0	788	0	0	52	0	8	0	0	8	4
miR-216b-5p	miR-216b-5p	0	0	19	0	104	0	0	0	0	0	0	0	0	0	9	2	60	40	0	310	0	0	41	0	0	0	0	0	0
miR-214a-3p	miR-214a-3p	13855	11298	39940	16006	10315	6502	5522	5827	587	874	2396	265	68	983	47517	20628	43293	71220	22462	6367	12889	10446	11997	8984	15094	10093	354	276	437
miR-212b-5p	miR-212b-5p	19	0	10	0	0	447	25	0	0	0	0	0	0	0	7	0	0	8	346	0	0	0	0	0	8	0	0	0	0
miR-212a-5p	miR-212a-5p	0	8	0	5	0	0	1	0	22	824	413	13	15	31	0	0	36	1	36	0	0	7	18	0	5	0	36	51	6
miR-210-5p	miR-210-5p	839	454	1706	1574	4497	2270	3871	975	553	5187	7147	471	534	473	1707	787	1720	1837	1799	2182	1088	1379	2157	1831	1413	922	1367	45	766
miR-210-3p	miR-210-3p	181	10	85	220	582	106	763	79	6	520	99	17	48	0	65	19	125	93	40	336	100	115	106	117	60	157	6	0	107
miR-21-5p	miR-21-5p	53203	20732	76271	254684	265330	79448	260515	30183	37602	393440	252287	22638	31117	20980	67561	34754	68375	111711	46047	94967	55143	76745	32165	98781	69476	58103	33616	11659	23896
miR-20b-5p	miR-20b-5p	0	1	19	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0
miR-20a-5p	miR-20a-5p	265	35	72	619	431	67	321	5	33	465	555	30	33	45	60	32	164	340	48	124	48	94	102	67	93	2	41	0	5
miR-206-1-3p	miR-206-1-3p	34089	12442	119212	14317	7301	10762	11659	9227	17074	9638	4938	3616	1117	6743	173346	76937	135705	181380	13864	4732	11505	13709	21624	25671	14941	12833	3063	6901	4784
miR-205-1-5p	miR-205-1-5p	1186	16875	25948	994	10177	24179	15682	5065	563	2093	1462	103	149	220	6828	5417	2660	19519	20125	3247	8532	25521	3645	21153	17293	27852	334	80	416
miR-204-2b-3p	miR-204-2b-3p	43	73	240	0	0	0	0	0	22	111	150	20	13	8	53	63	154	270	0	0	0	0	0	0	0	0	3	0	106
miR-204-1/2b-5p	miR-204-1/2b-5p	14270	7045	44703	2045	759	326	3282	1518	5698	8757	31658	2290	1255	5413	16614	20305	19429	68742	1722	359	846	1350	268	166	6872	1202	2713	3150	2214
miR-200b-5p	miR-200b-5p	0	55	1	8	32	196	125	31	23	0	0	0	0	0	0	18	3	72	26	0	23	71	0	49	69	74	0	0	0
miR-200b-3p	miR-200b-3p	348	9118	6259	8600	20639	52969	26503	7438	1498	4107	2787	148	396	289	5390	2793	2196	19407	7662	8606	6456	24248	1132	17073	12130	28498	558	692	1483
miR-200a-3p	miR-200a-3p	85	945	1045	1208	4522	4552	2222	814	515	527	1248	49	24	10	671	328	262	2078	1948	894	1127	2076	611	1881	1605	3474	48	81	58
miR-19b-3p	miR-19b-3p	132	47	135	945	461	358	456	58	1	549	189	34	103	17	221	27	186	431	84	268	103	234	0	75	160	359	5	45	16
miR-199-5p	miR-199-5p	3194	1882	8149	2327	4226	1628	2147	716	312	784	2251	129	94	1318	8340	4664	8874	12073	2075	2415	1969	2118	1228	2175	1909	2368	305	3	213
miR-199-3p	miR-199-3p	7705	7395	47993	37120	43625	15519	17484	7773	2194	5436	12711	1151	873	4946	38454	23421	38318	60546	9261	18231	14697	18422	6922	23659	13987	12114	1886	714	2110
miR-196d-5p	miR-196d-5p	113	53	306	0	0	0	0	0	8	0	3	9	22	2	579	230	564	666	0	0	0	0	0	0	0	0	1	0	0
