Gene	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-29a-3p	1.69126320363372	160.505691791269	155.61111100816	29.1653939854943	46.2568520812936	67.4282616834952	27.5328670340218	140.773356402346	119.732185557968	258.72026665585	200.659293894862	107.718719233976	75.048957138459	101.780077737821	233.470003125192	87.8756632395343
miR-27e-3p	901.443287536773	298.31157986237	502.5434815993	204.15775789846	256.191796142549	168.570654208738	96.3650346190762	299.646144342137	612.130798665112	17.021070174727	115.634169363141	433.551118407555	537.297401106313	1201.60509466887	202.499492506544	415.255585112309
miR-27c-1-5p	116.697161050727	77.5409224423401	200.780901589556	81.6631031593839	56.2198663757261	177.765417165578	126.6511883565	60.3314384581484	164.631755142206	432.335182438065	23.8070348688819	194.027506694739	106.264010107553	133.539463174438	102.440919738605	174.520574893081
miR-27c-1-3p	700.18296630436	1169.94386607303	1522.05639885793	659.13790407217	972.10553758534	1521.73326935706	911.337898826121	400.198541772384	1382.90674319453	728.501803478314	1083.22008653413	1608.4211244626	1815.7862727128	1523.20013145226	1203.08522018594	1108.41487834068
miR-27b-5p	30.442737665407	36.5607458147821	16.5543735115064	11.6661575941977	0.711643878173748	50.5711962626214	5.50657340680435	0	65.8527020568824	0	158.146731629002	62.891674583812	39.18485372716	54.2660365334329	14.2940818239913	73.8450951592725
miR-27b-3p	1486.62035599404	508.636309906749	1577.15881354623	991.623395506805	1447.4836482054	852.04803400053	1128.84754839489	2087.46777065194	1276.64442851183	275.741336830577	1654.5889233873	1289.94838933606	1047.36464962257	2162.13894870074	733.762866964888	1357.02669871023
miR-27a-5p	16.9126320363372	0.602649656287617	44.4603174309028	26.2488545869448	0	16.8570654208738	8.25986011020653	0	85.3091822100522	0	11.903517434441	38.8055013389479	31.8792030322658	56.5167016431144	66.7057151786262	68.4297881809258
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	81.1806337744186	4.82119725030094	44.4603174309028	11.6661575941977	0	30.6492098561342	0	60.3314384581484	11.9732185557968	13.6168561397816	10.2030149438065	22.7480525090384	34.5358032849546	36.5107895570562	42.882245471974	55.6299716866519
miR-27a-3p	35.5165272763081	26.1148184391301	117.536051931695	37.9150121811425	0	16.8570654208738	16.5197202204131	18.0994315374445	0	23.8294982446177	317.993965748637	22.7480525090384	61.1018058118427	77.5229093334755	66.7057151786262	125.044361136368
miR-26b-3p	153.904951530669	4.41943081277586	3.78385680263002	26.2488545869448	0	67.4282616834952	192.730069238152	0	0	296.166621040249	105.431154419334	67.5750971592023	23.9094022741993	49.7647063140698	95.2938788266088	20.1843260102011
miR-26a-1b-3p	43.9728432944767	17.0750735948158	32.8722559728483	0	0	44.4413542913946	46.805873957837	8.04419179441979	0	0	171.750751554077	14.0502677261708	10.6264010107553	9.75288214195337	21.441122735987	17.7228228382254
miR-26-5p	13037.9480368123	11032.5063744386	11091.1937616591	8860.44669279316	14586.5645709273	20852.1899256209	18620.4779751089	9427.79278305999	14694.1324726016	12840.695339814	12971.4329985594	13541.1127861891	15710.4697443385	23758.5210456006	19520.9510776308	16388.4419686973
miR-24-3p	270.602112581395	432.099803558221	534.469773371491	312.069715644789	108.881513360583	298.829796097308	421.252865620533	219.204226397939	342.733381159684	711.480733303587	704.008031122652	357.947296833398	567.184153949062	395.866985402877	364.499086511779	377.840736898278
miR-24-3-5p	0	0	0	0	0	0	0	0	161.638450503257	0	0	1.33812073582579	0	0	0	0
miR-24-2-5p	116.697161050727	45.3996074403338	124.630783436626	29.1653939854943	274.694536975067	162.440812237511	68.8321675850544	16.0883835888396	179.598278336952	23.8294982446177	215.963816310572	134.481133950492	211.199720088761	146.293232129301	109.5879606506	120.121354792417
miR-23b-2-5p	194.495268417878	84.7727183177915	238.619469615856	64.1638667680874	182.892476690653	136.388983859797	22.0262936272174	235.292609986779	28.4363940700174	44.2547824542901	6.8020099625377	202.056231109694	125.524361939547	43.2627848861009	109.5879606506	196.181802806467
miR-23b-2-3p	755.994652024273	459.219038091164	674.945457169131	218.740454891207	376.459611553913	392.309886158518	220.262936272174	798.386035596164	318.78694404809	122.551705258034	906.367827508148	468.342257539026	572.49735445444	950.780971889916	271.587554655835	527.500129754403
miR-23a-3p_gac-miR-23b-2-3p	42.281580090843	10.6468105944146	0	37.9150121811425	37.0054816650349	56.7010382338482	24.7795803306196	52.2872466637286	22.449784792119	0	156.446229138367	8.02872441495473	50.4754048010875	31.2592376344659	171.528981887896	59.5683767618131
miR-23a-3p	7923.56810902398	3846.91363930262	3448.51249349694	3736.08696954181	4333.19957419995	4614.238543841	4424.5317323673	4231.24488386481	5723.19846967087	5950.56613308455	3783.6180416616	5519.74803528138	8016.2912624885	7014.072777372	4130.98964713349	4371.13733279454
miR-23a-3-5p	0	0	2.60140155180814	29.1653939854943	84.685621502676	0	0	0	0	0	0	0	25.2377024005437	28.2583508215572	0	14.5228687146569
miR-22b-5p	930.194761998546	352.951815365781	504.435410000615	787.465637608345	787.789773138339	819.866363651589	534.137620460022	583.203905095435	866.561692975794	364.250901739157	396.217080317821	515.845543660841	385.87118670305	1659.24033363745	898.144807940788	375.133083409104
miR-22b-3p	3.38252640726744	52.8322865345478	33.5817291233415	26.2488545869448	49.8150714721624	13.7921444352604	22.0262936272174	4.0220958972099	0	0	5.10150747190327	0	9.96225094758306	52.265445324827	7.14704091199566	13.7844177630642
miR-22a-5p	284.132218210465	261.148184391301	226.085443957144	256.655467072349	382.864406457476	527.166409525508	223.016222975576	605.325432530089	308.310377811768	633.183810499843	646.190946441081	376.680987134959	540.618151422174	896.264861455407	169.146634917231	287.25742016957
miR-22a-3p	19510.4123171186	19296.6411111107	29615.7742120849	44757.2136101395	19742.4244682961	19955.700537329	19096.7965747975	46780.9973804483	16288.0671928421	27363.0724128911	26005.7845892723	20900.107772863	18798.1033880261	22792.235491844	11111.2662711826	25857.8446712881
