Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-205-1b-3p	77.9798706763718	39.7200775009109	0	0	0	90.0836345351711
miR-205-1a-3p	90.9765157891005	0	0	0	175.14212600076	280.890702960061
miR-205-1-5p	61309.9010495093	4702.48480038128	471.073915317032	2533.15623947336	82028.1034082682	88112.4343747519
miR-204-2b-3p	106.336187285962	0	39.6526864744977	61.2569787639362	6.73623561541386	0
miR-204-1/2b-5p	7704.64752546395	837.224758573888	15136.2234810453	51005.4432002069	5737.34810558535	1850.61576773434
miR-200b-5p	68.5277651398419	1.8618786328552	0	51.3477616109465	73.1362723959219	151.794470791548
miR-200b-3p	95292.5834797185	23516.1477591721	187.160680159629	1816.08925276611	64869.9489764355	155941.155259994
miR-200a-5p	385.173300613594	50.2707230870904	0	0	249.240717770313	368.137057667353
miR-200a-3p	5664.17424276555	9141.82408731903	398.112972203957	213.498587750778	6007.75984957553	9216.19420090927
miR-19a-1-3p	0	0	0	0	84.6841048794885	0
miR-199-5p	610.842320298246	86.8876695332426	1857.33183446547	1050.37701821691	310.829157682668	139.026711566091
miR-199-3p	7887.78207023422	2706.55090596051	10958.4164340922	14950.3061700924	2641.56668061586	2728.75387446302
miR-196d-5p	0	29.7900581256832	295.015987370263	0	0	0
miR-196d-3p	81.5244102525706	0	22.2055044257187	54.9511133029428	12.5101518571972	0
miR-196a-5p	0	65.7863783608837	0	164.853339908828	219.408817187766	164.562230017005
miR-194b-5p	0	0	0	0	0	27.6634783218242
miR-194a-5p	153.596714968611	0	14.2749671308192	73.8687096859231	207.860984704199	82.9904349654726
miR-193a-2-5p	217.398427340188	22.9631698052141	212.538399503308	123.414795450871	0	12.7677592254573
miR-18c-5p	131.147964319353	75.7163977361114	0	57.6536270719399	215.559539693244	21.9889186660654
miR-18a-3p	327.279154202348	37.237572657104	96.7525549977743	62.1578166869353	72.1739530222914	0
miR-184-3p	28784.0243851177	35789.0310807427	2152.34782183573	784.629830932183	30723.008322529	34742.4914923833
miR-183-5p	5959.55254078212	26884.2862060072	672.509562607481	472.939909574507	7159.6561398113	7877.70744210716
miR-182b-5p	2.36302638413248	87.5082957441944	55.5137610642967	99.0921715298968	132.800073561016	0.709319956969851
miR-182a-5p_gac-miR-182b-5p	496.235540667821	5581.91214129989	82.4775878669552	27.0251376899718	1107.62959904876	1061.85197558387
