		O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
nomCol	Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-221-3p	miR-221-3p	3842	16465	2861	7387	847	966	2997	1024	1932	755	2130	1114	2424
miR-218a-2-5p_gac-miR-218b-5p	miR-218a-2-5p_gac-miR-218b-5p	28	3	0	0	0	0	3	3	9	0	9	0	19
miR-218a-2-5p	miR-218a-2-5p	894	332	155	301	128	203	436	198	329	186	174	181	231
miR-2188-5p	miR-2188-5p	32343	26860	11065	18140	7369	10917	17213	12346	11103	2553	13265	6728	30988
miR-2188-3p	miR-2188-3p	40759	28847	13562	24642	13204	15098	26166	12691	11637	9868	8470	6737	28221
miR-217a-5p	miR-217a-5p	0	373	0	0	37	0	788	0	0	52	0	8	0
miR-216b-5p	miR-216b-5p	0	104	0	0	0	0	310	0	0	41	0	0	0
miR-216a-1-3p	miR-216a-1-3p	0	0	0	0	0	0	63	0	0	0	0	0	0
miR-214a-3p	miR-214a-3p	16006	10315	6502	5522	5827	22462	6367	12889	10446	11997	8984	15094	10093
miR-212b-5p	miR-212b-5p	0	0	447	25	0	346	0	0	0	0	0	8	0
miR-212a-5p	miR-212a-5p	5	0	0	1	0	36	0	0	7	18	0	5	0
miR-210-5p	miR-210-5p	1574	4497	2270	3871	975	1799	2182	1088	1379	2157	1831	1413	922
miR-210-3p	miR-210-3p	220	582	106	763	79	40	336	100	115	106	117	60	157
miR-21-5p	miR-21-5p	254684	265330	79448	260515	30183	46047	94967	55143	76745	32165	98781	69476	58103
miR-20a-5p	miR-20a-5p	619	431	67	321	5	48	124	48	94	102	67	93	2
miR-206-1-3p	miR-206-1-3p	14317	7301	10762	11659	9227	13864	4732	11505	13709	21624	25671	14941	12833
miR-205-1-5p	miR-205-1-5p	994	10177	24179	15682	5065	20125	3247	8532	25521	3645	21153	17293	27852
miR-204-1/2b-5p	miR-204-1/2b-5p	2045	759	326	3282	1518	1722	359	846	1350	268	166	6872	1202
