Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-146a-3p	85.9996173496815	81.1425366798593	80.6034803399363	1186.5241457396	1088.8511600805	1126.47104944396	2651.59388031073	3553.2544530481	0	0	0	0	0	0	62.6675007751426	78.9782684668914	33.5951950119341	74.838625201653	756.848774181727	1648.83232839699	794.334598036225	1043.80402655631	1782.58598501269	1259.98520612654	670.738796506914	2002.59329623075	0	0	96.7379767988964
miR-145-5p	450.720886109776	282.003570100495	408.720478138828	741.577591087253	999.484598521697	315.312426201974	548.945534765009	1617.66973434649	224.602939005637	250.544335856171	254.642055759946	58.783647462596	130.687219575792	222.797685388755	982.912411486633	492.933330776115	738.134427547923	853.920407086049	2884.82401439989	247.867858743911	1028.08685657951	2240.03903401077	1373.53216293866	1063.48751326633	1275.37324381801	612.314346114866	121.694815957032	165.694496996122	594.247571764649
miR-145-3p	139.878895689241	109.07685258604	369.559353256689	450.491060006275	677.540625709433	441.636331967433	232.834483785778	628.436596981041	371.565355885868	275.045516965134	388.088493915932	197.726814192369	0	787.864278766033	429.840173101985	333.161201463783	426.17904529425	344.374611279481	1043.62032263379	484.236693113104	299.329815238684	1022.9124707987	1414.04548077986	571.493289921681	315.538093494711	505.23328655275	237.453299428355	104.326164775336	478.161999605974
miR-144-5p	5966.09393613814	1253.05359922012	2504.79117207312	3866.83044224874	2091.70102661069	978.761600576474	1346.7010580427	1475.71699714607	598.941170681698	1533.69490135299	1915.94082847561	6706.67977868709	2401.37765970518	1643.53654873734	2790.17583988118	1881.86150036628	2090.58099245693	2500.07782314272	1257.88429207383	1815.5681818304	2140.78991534663	1733.22536655756	704.408977948562	1310.9846073269	1555.65568440828	2274.14139755125	765.786890656445	1969.92346428723	2379.75422925285
miR-144-3p	830.984254390898	65.1800704477559	99.6137351370911	440.326133524082	88.9926428911949	141.741390327386	181.508926046139	175.962247154692	8.31862737057914	332.741846673337	333.397330737249	117.567294925192	27.22650407829	274.460916783249	395.35201831298	99.8575808202076	120.462770685649	492.882508164012	167.826531196379	175.679539058184	191.444157449476	130.765663816173	129.381240847695	5.99992955298353	157.769046747356	493.401125275168	0	49.0946657766287	74.626439244863
miR-143-5p	0	6.65102759670978	0	10.1649264821929	17.5741773776729	34.3163366055776	0	0	0	0	0	0	0	0	6.3088088028667	0	5.27924493044678	6.1391059735731	0	0	0	18.5702717845452	71.8784671376084	8.9998943294753	0	1.77482419163729	0	0	0
miR-143-3p	4215.01739010246	2393.03972929618	4035.87709343596	15858.2093964465	15764.4110264402	8342.35116263708	4095.84748849434	23274.3342034861	3363.49833350417	7233.77613225111	6757.64012235803	6359.32186186266	2025.65190342478	7862.49802784955	4603.32748982507	3484.12177443597	3741.06493025752	5281.67750593072	21083.4116545198	8644.71099103763	6511.21675833688	12595.2868378678	17746.1400956652	6793.4202363656	8158.15808208672	6695.22845891975	3811.1254558251	8953.63967101266	4682.11807706659
miR-142-5p	498.383324640925	150.313223685641	120.144810318018	148.315518217451	63.5661734937106	133.28664072891	432.698245050066	178.919595846367	183.009802152741	2962.6670124822	1219.83170353734	1063.44962227787	1089.0601631316	171.134453994261	130.382048592579	112.566727470052	86.3876443164019	167.802229944331	112.427482063593	263.838725931018	130.097410863456	111.421630707272	0	78.7490753829088	113.699480616809	142.577543394863	1953.05338779822	36.8209993324715	1210.60668108333
miR-142-3p	532.575943587184	81.1425366798593	20.5310751809272	135.840381171123	49.3572641245282	58.6859089776544	193.745482858239	10.3507204208642	24.9558821117374	660.741529261069	46.3781063755229	197.726814192369	114.351317128818	293.834628556184	50.4704704229336	12.7091466498446	42.7138908008876	64.0221051529766	50.5108977387159	88.1591868728343	51.8274238399135	52.6157700562115	0	55.4993483650977	150.717916166468	118.32161277582	572.856084870907	0	63.5706704678462
miR-140-5p	24.8673592336428	2.66041103868391	27.754972003846	57.2932219905417	71.4184655135219	0	56.4241230780133	69.497694254374	0	0	32.8146979072096	10.6879359022902	152.468422838424	142.073886334858	80.3321654231694	39.0352361388084	25.4363619376072	47.0664791307271	72.5075790120277	31.302899686731	46.5389112031876	61.1271446241281	66.6509422548733	44.9994716473765	48.4765227436009	42.5957805992951	0	0	35.9312485253044
