Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a105_gac-miR-551a-3p	4556.13828574016	488.850214955777	719.442349357405	990.692715013741	3934.68474290068	2864.22271951126	2072.31609080991	1519.90899472516	19169.5085695411	5273.39967708705	2604.48585863003	3511.64274261639	19706.4715072491	770.723093774161
a224_gac-miR-499a-5p	599.565868209867	1246.29944911803	314.692785724547	1635.99086101759	5451.80837934603	528.154544023353	2906.21040817348	1810.52256924239	824.784537069377	4067.91819750581	163.7550988959	309.738013616902	1259.70879831492	1228.87210318802
a182_gac-miR-489-3p	48.4994664788755	55.0627989373266	26.3087216361358	56.7233357235759	102.150469286844	79.3199132049725	74.5182155941919	73.234620778344	1.49598162709077	65.1611610584454	0	38.3576487451272	30.7086688385898	120.854654761451
a75_gac-miR-460-5p	40.0647766564624	94.0096567222649	35.415586817875	283.616678617879	69.9919882150601	66.7448050139403	17.7424322843314	44.7544904756547	44.879448812723	72.1427140289931	266.426946616345	69.0437677412289	98.0063899103929	110.41720730478
a47_gac-miR-458-3p	132.143473884472	233.68114670963	118.389247362611	285.301530174025	90.8004171438618	209.907575188769	188.069782213913	209.823000801446	227.389207317797	279.262118821909	170.253317106055	137.12859426383	760.529585704649	142.828228354442
a60_gac-miR-456-3p	605.188994758143	607.033783406625	659.741788721558	445.92404519326	183.492509644887	390.795669936694	603.242697667268	428.945635987444	463.255643855774	511.9805511735	727.800439537333	406.591076698348	683.431225641806	702.605015635888
a164_gac-miR-455-5p	810.433113770196	279.34297997473	453.319511268801	540.275732337426	217.542666073835	334.691341084396	70.9697291373256	399.303051386685	388.456562501236	532.925210085143	0	502.485198561166	624.627391695571	580.651682194788
a102_gac-miR-455-3p	891.265557901655	377.381621985092	567.661262995083	662.146661565307	2099.7596464518	762.245019579492	940.348911069565	1182.79724828516	884.125141610644	1051.88731422919	497.763514897855	983.873690312511	2231.27881029328	2416.54375588919
a155_gac-miR-454b-3p	392.213076742211	756.106239066216	696.169249448515	133.664890120902	189.167535716379	634.55930563978	422.269888367088	85.440390908068	186.000382301619	97.7417415876681	0	187.952478851123	203.853291013617	139.532192315493
a1_gac-miR-451-5p	323667.867009552	231749.919761535	264634.371568344	154268.378183823	354982.33914857	312228.328591154	169195.382749841	187050.521102275	138913.363267852	194287.310433049	163482.173731074	291051.126089494	56584.3159027317	277027.983698256
a134_gac-miR-429a-3p	16.1664888262918	112.811588066718	225.647881725318	238.687303787324	28.3751303574568	44.4965366759602	156.133404102116	2152.28413287467	50.8633753210861	160.575718322598	331.409128717893	99.7298867373306	35.2823003677414	48.3418619045803
a17_gac-miR-425-5p	21733.3841090845	45489.9298928079	42677.8058633576	15377.0785357575	30648.9241367677	37951.6765205353	21482.5370098685	114518.603947114	21261.3895447564	17882.0843418962	36896.8829972587	30211.4430928808	12263.2128815211	17054.2398048602
a247_gac-miR-375a-3p	2394.04612792826	6740.49238698639	10241.1758338204	9458.75663620263	877.737365723997	3246.3125453157	213814.051458478	58527.8302263247	3584.37197850948	8031.1131004534	7567.82492754624	8299.63624722689	3081.32089878275	2691.7627651414
a116_gac-miR-365-2b-5p	177.128486270676	81.9227008579737	69.8192997266679	42.6829060890274	228.892718216818	122.849133866238	85.1636749647908	201.685820714963	93.7481819643548	65.1611610584454	287.22124488884	62.3311792108316	139.822449605494	176.337928083753
a136_gac-miR-365-2b-3p	3751.32829851824	612.405763790754	400.702067996529	1944.31869579227	6079.84459792441	1439.36622986584	1387.45820463472	1204.30265279944	2372.12820002359	1822.18532531296	619.930017248764	1897.74467166517	1364.24894755267	6694.79853444454
a205_gac-miR-34a-5p	0	6.71497548016178	0	9.54749215149297	0	20.3136363085905	0	44.7544904756547	30.9169536265425	6.98155297054772	0	16.302000716679	18.2945261166067	28.0163063310636
a174_gac-miR-338-3p	432.277853398673	175.932357580239	64.7599301812572	235.879217860415	518.319047862877	323.083548908059	184.521295757047	124.382609893378	302.188288672335	388.639782027157	145.560087907467	304.943307523761	863.762983076929	419.145916286304
a4_gac-miR-338-1a-5p	20.3838337374984	1.34299509603236	6.07124345449287	11.2323437076388	56.7502607149136	14.5097402204218	0	34.8736289420686	34.9062379654513	20.9446589116432	0	21.0967068098199	1.30675186547191	60.4273273807254
a43_gac-miR-31a-5p	448.444342224965	333.062783816024	1382.21975980621	1267.00837022166	353.743291789628	558.141340478892	603.242697667268	1627.43601729653	659.229237004665	1007.67081208239	1146.2856922713	906.199451603629	411.62683762365	1123.94828928149
a214_gac-miR-30e-5p	3532.0263631355	4259.98044461463	3642.74607269572	4941.1079969903	5317.4994289874	5568.83829659789	4027.53212854323	5672.77697457649	3070.75161987498	6683.67337713769	2963.18750383057	3572.05603938997	7150.54620786226	2556.62528754451
a95_gac-miR-30e-3p	6583.27540639345	5130.2412668436	5731.25382104126	6275.51042945779	6806.2479350753	7129.11902830058	11908.7205492432	11399.6080740132	9472.05700219638	9788.13726470791	4082.18067961922	7182.46972752506	44719.0089642468	4758.92670090203
a212_gac-miR-30c-2-5p	14214.5610232217	30710.2688609719	24255.6294746081	23635.6592467989	14546.9834965895	23114.0161711319	41325.6732766647	26174.9834296186	28581.2276461115	20923.7142527315	21706.648109201	23209.2543144578	21450.3318717213	20811.1715499218
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	544.740384364182	377.381621985092	230.707251270729	338.093545599928	283.751303574568	412.076622259979	610.339670581	365.010649593651	520.102945685224	353.732017174418	304.116612235243	418.098371321886	469.123919704414	318.067477758545
a213_gac-miR-30c-1-5p	8787.54101331742	4004.81137636848	3378.64698242528	6960.68339562376	8480.38062616526	8517.2175093876	7263.75177720528	18845.7090802939	17778.2456563467	11063.4342739946	3917.12593708129	10167.6537411146	40108.7883828619	4009.07850204121
a210_gac-miR-30bb-5p	1104.24147591759	1120.05791009098	599.029354176629	1060.3332460011	807.745377508937	721.617746962311	1493.9127983407	1787.85471043005	1046.18981787881	1198.49992661069	720.002577685148	894.692156980091	1079.37704087979	661.953904488855
a89_gac-miR-30bb-3p	88.5642431353379	102.067627298459	66.7836779994215	93.228452773402	227.001042859654	123.816449880933	81.6151885079245	81.3718008648267	54.3539991176312	83.7786356465727	385.994161683193	75.7563562716261	75.7916081973705	42.8484685063325
