Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a74_gac-miR-26b-3p	325	383	422	233	1033	620	236	285	233	1438	500	288	455	547	411
a73_gac-miR-26a-1b-3p	216	149	230	197	436	179	77	218	159	317	0	506	351	182	186
a226_gac-miR-26-5p	100716	148537	144579	166390	293821	161126	104596	98255	71535	313173	63713	260688	274315	259636	109397
a197_gac-miR-24-6-5p	147	88	141	112	15	141	75	220	35	1	25	151	87	239	0
a196_gac-miR-24-4a-5p	5	0	0	0	53	0	0	0	0	0	0	0	6	0	0
a206_gac-miR-24-3p	5577	5370	6682	3595	3213	4592	3186	2318	2040	1776	1410	6435	4954	4252	976
a198_gac-miR-24-3-5p	20	8	42	15	0	12	16	0	2	0	0	4	9	0	0
a199_gac-miR-24-2-5p	816	617	547	558	264	723	342	407	275	389	493	1174	506	462	662
a119_gac-miR-23b-2-5p	779	682	311	379	112	298	464	294	247	214	883	144	157	184	171
a50_gac-miR-23b-2-3p	13450	17098	11091	6861	4224	8852	6048	4203	3464	3092	3591	5754	4841	5097	955
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	81	58	170	35	67	36	12	45	43	58	259	150	69	153	0
a51_gac-miR-23a-3p	95580	102048	166318	86670	68625	121288	60602	51289	44554	58529	59413	159924	119961	59897	29117
a114_gac-miR-23a-3-5p	455	293	617	317	79	379	166	200	132	203	328	406	397	326	212
a112_gac-miR-23a-2-5p	389	256	380	325	209	365	100	189	157	159	0	436	316	370	155
a118_gac-miR-23a-1-5p	173	130	167	109	0	175	168	75	39	59	0	75	80	89	0
a79_gac-miR-22b-5p	1708	4986	2574	1993	2963	3119	1540	2771	1480	7601	2479	2047	2740	2150	1135
a14_gac-miR-22b-3p	78	157	120	131	287	69	38	0	63	191	141	248	188	135	116
a45_gac-miR-22a-5p	2702	8129	2974	2935	2883	7279	2416	3244	1785	2986	1926	2187	2208	3225	360
a13_gac-miR-22a-3p	191622	218084	227863	218218	72301	268372	239869	214160	116813	111670	50206	131658	108935	93826	90274
a219_gac-miR-223-5p	952	590	2168	1369	2656	1158	901	1056	789	1309	421	3538	3195	803	1014
a173_gac-miR-223-3p	41005	26536	88008	41121	74241	42136	10791	18426	21295	39005	17047	105852	73131	33042	22288
a201_gac-miR-222c-5p	93	98	72	134	306	126	158	147	57	65	188	145	85	338	127
a200_gac-miR-222a-5p	215	112	180	181	284	114	320	182	54	16	178	321	124	980	108
a39_gac-miR-222-3p	11533	9460	10742	6730	8245	12339	5843	6293	4218	3430	3573	9168	4749	11304	4306
a25_gac-miR-221a-5p	95	74	61	18	0	27	46	36	7	15	0	45	22	0	0
a40_gac-miR-221-3p	12117	8789	8401	4635	5859	8101	3125	3935	2516	2704	3998	6000	3492	6613	1654
a77_gac-miR-21a-3p	43	89	206	35	57	9	40	19	32	32	161	172	63	186	0
a238_gac-miR-218b-5p	1	6	1	0	50	16	0	0	6	0	0	6	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	24	29	0	5	22	18	0	12	2	0	0	26	1	20	0
a239_gac-miR-218a-2-5p	588	735	417	632	412	626	929	1000	229	591	0	532	564	804	441
a15_gac-miR-2188-5p	13244	29628	11272	10353	36549	16073	4535	5089	10512	41236	11581	26037	19218	44477	8101
a108_gac-miR-2188-3p	18835	67080	31559	55669	108095	57840	46899	56367	51935	166527	28739	52738	77947	69149	82995
a5_gac-miR-2184-5p	158	227	112	112	242	141	410	204	117	76	0	300	212	546	308
a142_gac-miR-217a-5p	158	154	441	126	25	87	52	78	50	35	165	10	20	20	54
a135_gac-miR-216b-5p	34	36	82	17	0	14	0	0	0	0	0	0	0	26	0
a58_gac-miR-214a-3p	5841	17914	3447	5621	6276	16968	4033	3310	3767	5642	4465	4069	3017	18582	2618
a27_gac-miR-212b-5p	10	5	15	19	0	13	0	0	0	0	0	0	0	0	0
a26_gac-miR-212a-5p	12	54	27	67	21	75	37	0	8	41	0	69	67	10	0
a38_gac-miR-210-5p	4045	3513	4853	4026	3499	4012	1424	1723	1595	2803	513	4252	3009	3862	1176
a94_gac-miR-210-3p	523	307	798	389	1467	249	266	216	135	482	148	1513	534	1553	144
a52_gac-miR-21-5p	195784	212114	296374	263999	451595	300090	212405	227740	166499	231336	107227	391938	277116	317490	160536
a56_gac-miR-20b-5p	0	0	0	0	0	0	0	0	0	0	204	12	0	0	0
a126_gac-miR-20a-5p	178	384	503	377	1463	259	183	138	102	399	0	1099	438	1013	71
a203_gac-miR-206-1-3p	8246	72617	9943	101256	9786	119642	31322	56500	9443	10888	4325	2428	24509	79510	5111
a240_gac-miR-205-1a-3p	491	107	481	79	141	1331	222	401	44	75	0	256	154	27	0
a178_gac-miR-205-1-5p	31233	16239	26060	3652	4571	117044	5190	14584	5183	12248	4581	40547	17665	5876	2345
a101_gac-miR-204-2b-3p	94	95	60	62	70	105	169	233	108	27	0	6	0	0	0
